#{"env_id": "BaxterReachEnv-v10", "t_start": 1543729335.7155528}
r,l,t
-5515.811239,100,3.108806
-5912.445504,100,5.402219
-5615.979972,100,7.634266
-6111.189016,100,9.693912
-3921.433013,100,11.969424
-6211.955993,100,14.078927
-5210.377446,100,16.246156
-4711.642716,100,18.422585
-5715.108517,100,20.437665
-5216.865226,100,22.601935
-4618.973487,100,24.546906
-5615.459783,100,26.593223
-4220.408786,100,28.803398
-5412.731315,100,30.944002
-6322.008939,100,32.960123
-4518.605255,100,34.940934
-5415.248991,100,37.219261
-5810.592732,100,39.316614
-5809.749688,100,41.309343
-7608.022397,100,43.662296
-5619.565617,100,45.839995
-5515.811144,100,47.930959
-6413.102199,100,50.23985
-6213.836438,100,52.270308
-4419.628385,100,54.597143
-5914.861475,100,56.775727
-6313.000352,100,58.962251
-5111.239746,100,61.137254
-4713.206405,100,63.280949
-5517.0269,100,65.490756
-5216.865226,100,67.633142
-5110.285563,100,69.801169
-5713.227896,100,71.925414
-5416.1626,100,73.935426
-5117.216682,100,76.011957
-7308.737979,100,78.164971
-5914.405795,100,80.334337
-6709.880107,100,82.406925
-5715.108422,100,84.482687
-5615.121509,100,86.521276
-5117.216682,100,88.602735
-4625.37157,100,90.762825
-7806.669567,100,92.948949
-5316.513866,100,94.950046
-4120.730196,100,97.136227
-5914.405795,100,99.411185
-6512.29763,100,101.587002
-5715.108517,100,103.856598
-6910.559933,100,106.248346
-6810.206183,100,108.44729
-5316.513866,100,110.620181
-5316.513961,100,112.861699
-4818.311587,100,115.106914
-6412.648991,100,117.427435
-5914.4057,100,119.550914
-5416.121613,100,121.766191
-5311.192498,100,123.899844
-5814.757061,100,125.895356
-4917.919404,100,128.128972
-5914.4057,100,130.407839
-5212.588726,100,132.76408
-5515.811239,100,134.908455
-5713.780132,100,137.097417
-5814.199883,100,139.168036
-7110.189465,100,141.325048
-6014.054435,100,143.279638
-5520.155902,100,145.363955
-5416.218353,100,147.327179
-5814.757156,100,149.492931
-5416.162505,100,151.625582
-5024.132436,100,153.886061
-4818.27067,100,156.06658
-5710.653656,100,158.397445
-6207.273193,100,160.417615
-5715.108422,100,162.617404
-5117.358787,100,164.733168
-4815.65289,100,166.865854
-5515.811144,100,169.063419
-4541.251193,100,171.184062
-4718.449688,100,173.187543
-4818.27067,100,175.342158
-7211.365677,100,177.528146
-4818.27067,100,179.781739
-5715.285135,100,182.016837
-5814.757061,100,184.400631
-7009.374604,100,186.494496
-6412.648896,100,188.621971
-6711.6351,100,190.808183
-6710.358594,100,193.056028
-6412.379675,100,195.149044
-5415.941071,100,197.398778
-6711.594814,100,199.617758
-5017.956564,100,201.771573
-5116.014132,100,204.038624
-5120.591912,100,206.190711
-6213.351618,100,208.27116
-4914.438126,100,210.428329
-5515.811239,100,212.671595
-4820.426997,100,214.989876
-5116.862907,100,217.109608
-4823.410829,100,219.196248
-5117.216587,100,221.493984
-5005.839988,100,223.861356
-5125.474457,100,226.003247
-6013.930733,100,228.2
-4917.919404,100,230.421946
-6408.888379,100,232.513069
-6905.054475,100,234.619856
-4522.734659,100,236.842627
-6305.382585,100,238.987401
-5615.459878,100,240.901918
-5211.703388,100,242.91679
-5216.865322,100,244.955051
-5610.254525,100,247.024021
-5615.152683,100,249.079788
-6221.620689,100,251.287941
-4519.324753,100,253.367186
-5216.865227,100,255.481322
-4026.119201,100,257.612096
-6114.279503,100,259.658271
-6014.378535,100,261.737133
-4813.945952,100,263.904287
-5117.273207,100,265.982003
-4519.324753,100,268.04947
-6212.692533,100,270.247871
-4715.524473,100,272.526414
-5713.834896,100,274.877187
-4618.973392,100,276.923837
-5609.108418,100,279.081855
-5714.555508,100,281.357616
-3724.00842,100,283.458508
-4519.324753,100,285.545877
-4915.518462,100,287.584208
-5316.513866,100,289.674838
-3522.838361,100,291.788138
-3323.541083,100,293.876796
-4919.583952,100,295.973522
-5215.41564,100,298.177159
-5115.360842,100,300.529338
-2848.832593,100,302.752686
-3423.189817,100,304.969457
-4215.935252,100,307.040545
-4718.622031,100,309.020875
-4823.23015,100,311.241017
-3722.135639,100,313.319279
-3323.541083,100,315.429645
-4518.366649,100,317.579094
-5214.205345,100,319.81289
-5416.162505,100,321.945576
-3522.838361,100,324.187636
-1626.172212,100,326.240128
-3821.783538,100,328.218931
-2823.765522,100,330.254803
-2127.757413,100,332.300603
-3522.838361,100,334.626144
-3323.541083,100,336.65253
-3117.346241,100,338.666261
-3124.243805,100,340.762085
-3124.243805,100,342.907622
-1629.514313,100,345.027645
-2626.000609,100,347.1247
-3821.784279,100,349.081984
-2825.277595,100,351.262825
-2028.108774,100,353.426702
-3423.189722,100,355.438965
-1729.162857,100,357.571866
-1230.919661,100,359.701455
-1629.514218,100,361.681483
-1131.271117,100,363.670032
-2328.48734,100,365.801414
-3622.654972,100,367.8175
-2825.297887,100,369.846981
-2426.703331,100,371.891101
-2327.054692,100,373.920599
-3223.450879,100,375.964771
-1529.865673,100,378.110474
-1031.622478,100,380.0734
-2725.649248,100,382.131041
-832.325105,100,384.32131
-732.676465,100,386.54923
-832.325105,100,388.574182
-1729.162857,100,390.731976
-1529.865578,100,392.919064
-1327.95685,100,394.963316
-1230.919661,100,397.108696
-1729.162952,100,399.33632
-1031.622478,100,401.443764
-1529.865674,100,403.559737
-930.230836,100,405.666001
-1529.865579,100,407.665657
-1430.216939,100,409.681138
-2227.406052,100,411.850329
-1629.514313,100,413.936004
-633.027826,100,416.034553
-1230.919661,100,418.214966
-931.973839,100,420.37886
-931.973744,100,422.526009
-1828.811496,100,424.620695
-2028.108774,100,426.737182
-732.67656,100,428.768928
-1529.865578,100,430.918648
-1928.46023,100,433.056852
-633.027921,100,435.068009
-430.880327,100,437.261741
-1031.622478,100,439.327248
-633.027826,100,441.363375
-1131.271022,100,443.560363
-832.325105,100,445.717857
-1729.162857,100,447.824655
-633.027921,100,449.925582
-832.325105,100,452.093768
-1430.216939,100,454.181056
-633.027921,100,456.209996
-732.676465,100,458.386552
-1729.103705,100,460.571474
-533.379187,100,462.763526
-533.379282,100,464.727132
-1828.811496,100,466.763142
-1131.271117,100,468.748937
-134.784631,100,470.645163
-334.081909,100,472.786139
-931.973744,100,474.847942
-1131.271022,100,476.900149
-832.325105,100,479.071692
-931.973744,100,481.104294
-1330.5683,100,483.198736
