"#{""t_start"": 1543729345.3484435"," ""env_id"": ""BaxterReachEnv-v11""}",
r,l,t
-86.806699,100,3.338979
-86.674936,100,5.624674
-100.948547,100,7.699109
-95.401123,100,9.724498
-85.102065,100,11.732149
-73.445247,100,13.952937
-112.827599,100,16.039842
-88.711789,100,18.082388
-93.362637,100,20.181401
-102.478573,100,22.308135
-110.730161,100,24.492049
-88.754307,100,26.62994
-96.756125,100,28.828123
-107.111289,100,31.02225
-120.584255,100,33.301353
-89.205449,100,35.522435
-99.594577,100,37.774511
-95.509515,100,39.902343
-103.181633,100,42.161581
-101.878968,100,44.474205
-86.851757,100,46.712019
-104.730275,100,48.745562
-92.77749,100,50.902055
-99.495553,100,53.116382
-89.607821,100,55.154168
-105.453043,100,57.389878
-108.439485,100,59.561761
-109.70982,100,61.599858
-114.456077,100,63.599836
-98.047793,100,65.715207
-98.475065,100,67.746186
-106.481997,100,69.850475
-97.6824,100,72.114717
-93.906161,100,74.203199
-100.044353,100,76.433919
-112.120848,100,78.533208
-82.487265,100,80.750818
-77.760994,100,82.939224
-100.131167,100,85.285294
-99.942083,100,87.398477
-84.413015,100,89.53751
-119.419126,100,91.713538
-101.60467,100,93.820765
-97.888783,100,95.931598
-146.668449,100,98.104019
-94.626541,100,100.160685
-91.70478,100,102.219132
-109.774584,100,104.379519
-131.69955,100,106.540182
-117.415439,100,108.715162
-84.034516,100,110.802485
-106.642986,100,113.212217
-110.861127,100,115.394305
-114.201603,100,117.46273
-88.696464,100,119.644374
-116.553493,100,121.723711
-105.285474,100,123.766715
-89.952571,100,125.796192
-143.360405,100,127.909973
-106.500587,100,129.926129
-108.099107,100,132.064845
-100.510253,100,134.189579
-101.489625,100,136.162467
-82.287301,100,138.242852
-97.487022,100,140.562599
-122.108962,100,142.554515
-90.763746,100,144.665446
-101.738742,100,146.76253
-97.385607,100,148.920952
-85.340696,100,151.001268
-89.747347,100,153.179209
-128.256224,100,155.461209
-94.81225,100,157.584591
-88.298464,100,159.878072
-91.100196,100,162.191154
-96.262563,100,164.252005
-92.314242,100,166.395808
-101.477226,100,168.50601
-112.175265,100,170.596467
-94.209872,100,172.712705
-105.462504,100,174.966428
-91.99114,100,177.059414
-105.335236,100,179.152808
-92.754448,100,181.35852
-97.035401,100,183.616774
-120.427285,100,185.862532
-113.925158,100,188.080139
-89.952397,100,190.410613
-90.900417,100,192.577645
-94.83109,100,194.81273
-93.976896,100,196.994693
-105.921801,100,198.987117
-116.974767,100,201.2876
-108.291014,100,203.248137
-88.756695,100,205.464525
-81.826526,100,207.518486
-91.604221,100,209.708738
-73.860552,100,211.893605
-107.205711,100,213.991565
-88.945751,100,216.195486
-94.462943,100,218.370842
-102.284281,100,220.54517
-86.766768,100,222.768747
-99.512428,100,224.866877
-90.721793,100,226.915378
-158.152674,100,229.215014
-87.821852,100,231.480027
-100.281377,100,233.648868
-82.210359,100,235.864214
-123.276326,100,238.017053
-81.936673,100,240.182614
-110.05605,100,242.180852
-117.700239,100,244.450677
-117.809888,100,246.459475
-90.434214,100,248.602572
-100.126173,100,250.982997
-111.145749,100,253.160864
-95.944906,100,255.301772
-95.604497,100,257.482558
-113.529314,100,259.715344
-113.969909,100,261.947261
-101.844077,100,264.205102
-85.303786,100,266.205785
-107.836562,100,268.268272
-93.135855,100,270.433805
-101.936722,100,272.768364
-86.812649,100,275.032089
-86.403401,100,277.190474
-91.741658,100,279.361645
-105.679428,100,281.586381
-87.337692,100,283.768945
-105.184203,100,285.874984
-123.816377,100,287.924953
-104.161869,100,290.084154
