#{"env_id": "BaxterReachEnv-v12", "t_start": 1543862646.7972183}
r,l,t
-118.072355,100,3.421348
-99.548775,100,5.613766
-102.142171,100,7.880335
-95.523906,100,10.122231
-104.845797,100,12.294818
-116.924151,100,14.357543
-100.306335,100,16.561148
-114.745357,100,18.814042
-95.148217,100,20.956854
-94.144824,100,23.294414
-94.711708,100,25.36859
-102.266475,100,27.286595
-99.993178,100,29.381756
-101.546922,100,31.572406
-94.594088,100,33.844764
-87.23129,100,36.093008
-105.087882,100,38.387393
-101.280995,100,40.6889
-95.876844,100,42.82444
-130.757775,100,44.900713
-101.68183,100,46.914905
-127.722634,100,49.080462
-108.696638,100,51.279917
-103.19596,100,53.3
-104.524622,100,55.334758
-91.60918,100,57.514454
-100.712279,100,59.749926
-98.297009,100,61.992313
-100.207133,100,64.123234
-96.036809,100,66.342384
-103.795038,100,68.777672
-94.164027,100,71.158456
-113.030704,100,73.221695
-119.749244,100,75.119063
-97.44677,100,77.213161
-101.52927,100,79.394705
-113.834529,100,81.504441
-111.63113,100,83.516878
-106.005123,100,85.578248
-108.053793,100,87.771806
-106.386263,100,89.988489
-103.143802,100,92.084994
-132.155191,100,94.047197
-99.107927,100,96.062004
-93.536068,100,98.276222
-99.960418,100,100.310272
-100.488242,100,102.364691
-97.414311,100,104.524616
-92.412103,100,106.552517
-94.079585,100,108.61956
-136.128829,100,110.597428
-103.596675,100,113.113905
-98.216949,100,115.247065
-113.616623,100,117.40931
-116.187094,100,119.369498
-90.970014,100,121.528243
-103.940864,100,123.74724
-100.460934,100,126.029479
-95.62924,100,128.141962
-99.17275,100,130.324669
-99.871782,100,132.564318
-95.754104,100,134.876421
-108.614774,100,136.955049
-98.820086,100,139.212719
-91.255915,100,141.344421
-129.049426,100,143.513109
-102.235612,100,145.623524
-88.06136,100,147.700514
-94.725062,100,149.828044
-99.529735,100,152.098392
-103.125883,100,154.19821
-93.512261,100,156.357913
-82.06514,100,158.463241
-109.739789,100,160.530485
-85.103421,100,162.705918
-106.457771,100,164.872662
-108.36935,100,167.078128
-80.420415,100,169.126009
-92.114458,100,171.115329
-84.880143,100,173.475078
-105.584465,100,175.737274
-66.356478,100,178.077384
-85.388226,100,180.404869
-40.57649,100,182.745281
-95.28033,100,185.05091
-96.191856,100,187.285777
-101.853802,100,189.40818
-90.917986,100,191.483342
-87.259918,100,193.851367
-107.588852,100,196.099729
-80.370509,100,198.158921
-87.090045,100,200.397526
-98.627516,100,202.428297
-101.056785,100,204.524971
-94.683047,100,206.702295
-83.88553,100,208.892933
-74.936239,100,211.029485
-58.283841,100,213.214587
-97.066647,100,215.417133
-62.68389,100,217.538934
-94.03867,100,219.625166
-91.3013,100,221.843131
-107.800157,100,224.152871
-93.42163,100,226.187759
-88.83453,100,228.141614
-103.395964,100,230.20789
-88.988693,100,232.430073
-86.497829,100,234.575087
-97.638275,100,236.7807
-89.037126,100,238.894103
-78.959869,100,241.173212
-105.976577,100,243.319987
-96.833953,100,245.484305
-94.289699,100,247.728227
-82.398998,100,249.930969
-101.144561,100,251.904439
-106.089574,100,254.048492
-94.048625,100,256.18558
-98.359471,100,258.346641
-103.157304,100,260.405041
-113.709424,100,262.763056
-95.603382,100,264.79664
-108.012238,100,266.781278
-96.050373,100,268.793606
-98.642423,100,270.855075
-113.44419,100,273.001366
-94.791386,100,275.175907
-88.386359,100,277.309671
-115.228086,100,279.411449
-111.999017,100,281.484557
-111.391925,100,283.554162
-111.025686,100,285.670125
-106.953096,100,287.671958
-91.099926,100,289.814163
-100.77995,100,291.771782
-95.184508,100,293.772461
-98.941868,100,295.817421
-87.605704,100,298.044582
-110.426852,100,300.327521
-110.339814,100,302.400314
-81.814352,100,304.779001
-104.715521,100,307.041212
-64.787573,100,309.3592
-88.881943,100,311.57744
-97.112547,100,313.639207
-105.524359,100,315.683037
-107.046307,100,317.682809
-106.357318,100,319.696518
-121.444595,100,321.728048
-98.956217,100,323.870886
-118.113189,100,325.914678
-99.934468,100,327.953189
-95.280789,100,329.913445
-113.022252,100,332.078963
-115.263661,100,334.058997
-106.380729,100,336.104402
-142.077099,100,338.110724
-136.207832,100,340.239471
-107.520991,100,342.242615
-104.581728,100,344.295184
-82.03138,100,346.367863
-118.169324,100,348.374182
-112.100171,100,350.335482
-104.164547,100,352.495033
-98.748669,100,354.78067
-102.573056,100,356.921126
-94.605109,100,359.003046
-106.12266,100,361.178345
-110.346737,100,363.288433
-97.714417,100,365.271562
-110.6531,100,367.416524
-104.308975,100,369.458094
-107.513733,100,371.505861
-99.379142,100,373.554907
-98.394211,100,375.872063
-73.207797,100,377.872852
-102.226049,100,379.933345
-95.402988,100,381.969316
-80.245528,100,384.083313
-91.461636,100,386.16339
-96.35559,100,388.383629
-98.654298,100,390.524014
-97.374173,100,392.440578
-93.540719,100,394.860739
-97.606588,100,397.143604
-93.847741,100,399.318192
-101.310637,100,401.474721
-101.467367,100,403.745493
-102.532725,100,405.90686
-95.494777,100,408.259281
-98.620755,100,410.549585
-98.260509,100,412.704163
-81.15488,100,415.170367
-99.712317,100,417.330313
-90.223166,100,419.759275
-108.356452,100,422.181417
-107.160929,100,424.397607
-99.716078,100,426.655769
-94.999427,100,428.779133
-91.62857,100,430.999941
-99.753994,100,433.106702
-100.731969,100,435.163906
-99.070793,100,437.26222
-110.981401,100,439.117211
-92.234933,100,441.367098
-126.534079,100,443.875479
-91.845725,100,445.9069
-81.320758,100,448.16307
-93.650682,100,450.289128
-98.90595,100,452.417217
-61.478536,100,454.632846
-98.086827,100,456.808551
-91.142861,100,458.928423
-100.151087,100,461.007126
-98.903621,100,463.222441
-100.284138,100,465.311906
-103.442081,100,467.327938
-124.544797,100,469.426274
-97.975751,100,471.420385
-105.712169,100,473.482808
-82.015233,100,475.840506
-98.618829,100,477.960247
-140.890519,100,480.035878
-92.101298,100,482.079364
-91.40231,100,484.250636
-64.244626,100,486.438025
-112.195554,100,488.665053
-102.741185,100,490.647903
-95.616092,100,492.639721
-122.701445,100,494.813805
-97.501354,100,497.010305
-95.885551,100,499.235675
-125.449978,100,501.505856
-100.184423,100,503.647011
-111.133574,100,505.789324
-102.163508,100,508.013641
-104.264756,100,510.120496
-98.449014,100,512.25832
-99.396761,100,514.362912
-106.22336,100,516.391851
-113.002028,100,518.442952
-100.96777,100,520.630939
-101.550418,100,522.767767
-112.488997,100,524.951882
-112.425367,100,527.100342
-104.400549,100,529.260777
-103.211987,100,531.435235
-101.572176,100,533.474568
-90.307878,100,535.60265
-106.619642,100,537.46563
-104.007003,100,539.537813
-91.168526,100,541.586865
-108.688098,100,543.57088
-109.474497,100,545.520619
-92.894897,100,547.711603
-97.016789,100,549.732714
-110.907303,100,551.760338
-90.95251,100,553.909288
-102.532031,100,555.99176
-97.009522,100,558.083888
-103.150582,100,560.166504
-101.200269,100,562.260831
-99.664874,100,564.456242
-99.591488,100,566.613289
-99.696212,100,568.639475
-84.884687,100,570.822455
-98.261016,100,572.830172
-109.177309,100,575.189644
-100.697785,100,577.301491
-89.436497,100,579.472677
-98.204253,100,581.817784
-99.444712,100,583.795284
-100.998313,100,585.89139
-96.203112,100,587.953815
-124.170339,100,590.032991
-106.248915,100,592.166154
-94.318684,100,594.382241
-116.024916,100,596.748637
-95.672823,100,598.794281
-103.649388,100,600.892071
-96.33575,100,603.061513
-99.354516,100,605.126348
-104.317528,100,607.155667
-114.122417,100,609.14766
-93.745574,100,611.276002
-94.256164,100,613.453272
-104.226197,100,615.629966
-95.732125,100,617.642026
-104.895282,100,619.739476
-108.165775,100,621.864612
-111.730217,100,623.975827
-96.066298,100,626.061502
-121.32154,100,628.024598
-104.077436,100,630.228429
-93.394482,100,632.39499
-101.622584,100,634.373234
-100.259756,100,636.421038
-99.7743,100,638.643143
-95.317838,100,640.733145
-98.324886,100,642.735511
-150.499013,100,644.935827
-101.672495,100,647.150673
-97.174372,100,649.413782
-103.487199,100,651.478243
-138.457424,100,653.485338
-104.776404,100,655.499904
-107.866629,100,657.652235
-114.678018,100,659.745988
-100.626815,100,662.13289
-91.959611,100,664.375792
-98.437289,100,666.408938
-103.518295,100,668.656058
-99.174698,100,670.781389
-126.015627,100,673.000045
-100.89736,100,675.12103
-100.695962,100,677.342484
-139.818039,100,679.561198
-103.970253,100,681.806358
-100.673443,100,684.011526
-96.420664,100,686.064055
-118.034423,100,688.323772
-90.309185,100,690.479159
-117.591064,100,692.430152
-133.034594,100,694.487949
-130.977082,100,696.566945
-95.516125,100,698.743075
-130.138971,100,700.930764
-106.267605,100,703.002557
-96.573919,100,705.163231
-103.276787,100,707.292557
-110.207282,100,709.284497
-106.150058,100,711.454107
-106.661448,100,713.735253
-104.075162,100,715.731789
-105.695497,100,717.895502
-100.496519,100,719.951281
-130.551137,100,722.018626
-81.593287,100,724.45488
-94.573473,100,726.719548
-97.839695,100,728.9606
-106.253922,100,731.041687
-118.08481,100,733.153553
-98.57369,100,735.292725
-95.603193,100,737.413849
-97.266026,100,739.432663
-98.705985,100,741.631901
-65.821324,100,743.706599
-105.637456,100,745.709745
-130.625667,100,747.696841
-115.860784,100,749.796781
-98.115448,100,752.016969
-94.193338,100,753.956177
-104.411763,100,756.119763
-109.255106,100,758.159847
-96.77347,100,760.295775
-109.017232,100,762.362359
-131.33656,100,764.407033
-108.691491,100,766.533538
-117.025913,100,768.431992
-101.335264,100,770.534201
-109.10401,100,772.628155
-99.935662,100,774.884352
-105.062067,100,776.946685
-106.930218,100,778.891063
-101.811243,100,780.946366
-105.453914,100,783.10986
-97.555637,100,785.232614
-78.295146,100,787.469783
-95.844822,100,789.649657
-106.883938,100,791.682629
-81.97911,100,793.649736
-100.008313,100,795.648137
-77.630729,100,797.796509
-111.146481,100,799.970938
-92.14126,100,801.871366
-107.396416,100,803.952866
-102.35579,100,805.919724
-104.56409,100,808.009884
-91.611921,100,810.076501
-108.211888,100,811.975729
-101.714687,100,814.106833
-97.105094,100,816.418642
-99.544106,100,818.505977
-105.385044,100,820.629345
-99.884358,100,822.62919
-93.587221,100,824.661241
-92.806057,100,826.675027
-108.424048,100,828.679134
-107.829604,100,830.804652
-101.869933,100,832.884776
-98.090336,100,835.24459
-97.18788,100,837.503617
