#{"env_id": "BaxterReachEnv-v12", "t_start": 1544013214.5816493}
r,l,t
-112.75133,100,2.746606
-115.386918,100,4.521607
-117.922857,100,6.117482
-115.766522,100,7.912819
-107.28782,100,9.642107
-109.66723,100,11.434711
-106.603626,100,13.176853
-106.896737,100,14.92082
-112.415962,100,16.211437
-101.809885,100,17.457463
-111.058899,100,18.873753
-110.464745,100,20.717718
-95.274227,100,22.180933
-112.079155,100,23.729463
-110.622792,100,25.429733
-108.255628,100,27.03884
-113.67829,100,28.623991
-116.873935,100,30.306916
-117.677642,100,31.507242
-102.602738,100,33.038803
-104.403284,100,34.676429
-100.146057,100,36.450872
-112.511028,100,38.196846
-115.642558,100,39.913877
-103.4313,100,41.264849
-113.414559,100,42.599369
-98.406314,100,43.88198
-112.159486,100,45.105394
-105.387664,100,46.330405
-103.100531,100,47.767704
-103.775942,100,49.838971
-109.105254,100,51.215533
-106.472831,100,52.703129
-116.97036,100,54.48162
-106.878452,100,56.382358
-114.445107,100,58.052372
-112.277453,100,59.77108
-111.796129,100,61.171275
-128.290682,100,62.909044
-115.286666,100,64.608431
-107.626912,100,66.270244
-115.065699,100,67.494464
-108.917656,100,68.79068
-112.036927,100,70.16206
-111.790993,100,71.496504
-110.636043,100,72.89885
-105.394895,100,74.485715
-105.923158,100,75.723035
-109.219937,100,76.961052
-107.453839,100,78.527611
-115.107373,100,79.737992
-118.526884,100,81.555791
-108.833913,100,83.056127
-100.795446,100,84.738179
-109.987358,100,86.390436
-111.644488,100,88.112938
-113.613547,100,89.371265
-110.865663,100,90.86676
-106.645286,100,92.814689
-112.388237,100,94.428769
-109.777458,100,95.989305
-112.287129,100,97.287857
-114.486358,100,98.721412
-116.263849,100,100.564191
-93.79275,100,102.423342
-114.04585,100,104.054533
-104.541852,100,105.501871
-96.934272,100,107.358706
-92.169863,100,108.651926
-107.89327,100,110.15864
-93.119346,100,111.730618
-104.887132,100,113.093817
-111.588945,100,114.708053
-103.681788,100,116.243592
-103.084413,100,117.918175
-105.367625,100,119.815334
-100.732022,100,121.863859
-106.620494,100,123.136881
-104.691002,100,124.660945
-99.56554,100,126.347091
-95.183002,100,128.251941
-103.636696,100,129.742609
-102.359351,100,131.722749
-124.0832,100,133.682616
-106.344827,100,135.576497
-101.325903,100,137.200458
-119.36892,100,138.655801
-120.49121,100,140.442173
-115.96217,100,142.078739
-119.064846,100,143.792238
-103.793518,100,145.548261
-106.381604,100,146.930122
-113.966957,100,148.432041
-117.468287,100,149.813222
-109.92965,100,151.462149
-136.867733,100,153.318111
-110.298963,100,154.928953
-121.862939,100,156.601102
-108.642807,100,157.953102
-107.35097,100,159.494739
-122.218064,100,160.823356
-143.337923,100,162.161574
-117.174609,100,163.428715
-108.611433,100,164.871388
-106.571322,100,166.623493
-110.64254,100,168.256142
-95.21782,100,169.613402
-103.392168,100,171.238258
-94.576299,100,173.231471
-98.733389,100,174.738076
-98.379928,100,176.272036
-104.587937,100,177.93294
-106.975191,100,179.649064
-110.353028,100,180.887078
-110.917713,100,182.784725
-113.827345,100,184.49858
-104.246532,100,186.047226
-136.293011,100,187.868593
-118.632319,100,189.778834
-123.083435,100,191.486565
-118.309677,100,193.094051
-119.580752,100,194.535153
-130.462587,100,195.943475
-117.104623,100,197.288892
-141.995283,100,198.911264
-115.309286,100,200.24289
-120.456019,100,202.024965
-122.575661,100,203.729064
-156.098373,100,205.21866
-122.628711,100,206.557876
-127.969568,100,208.163068
-135.893724,100,209.988331
-120.731153,100,211.575406
-126.387184,100,213.016338
-128.119231,100,214.420035
-130.547709,100,216.015485
-131.125875,100,217.755941
-137.068908,100,219.107247
-136.91195,100,220.614473
-144.974517,100,222.550031
-137.042116,100,224.058198
-152.259391,100,225.863453
-150.729955,100,227.733628
-143.084935,100,229.494553
-148.861266,100,231.055191
-148.386468,100,232.671179
-146.125117,100,234.020335
-132.338882,100,235.352205
-135.802972,100,236.859748
-160.5928,100,238.924372
-146.277182,100,240.68782
-137.863941,100,242.102338
-140.032263,100,243.497132
-148.312378,100,244.841722
-159.307835,100,246.157742
-155.559763,100,247.793616
-151.020363,100,249.666052
-158.150537,100,251.610464
-149.696037,100,253.532769
-159.713003,100,255.360706
