#{"t_start": 1543912226.723901, "env_id": "BaxterReachEnv-v17"}
r,l,t
-86.433897,100,2.838639
-87.139887,100,4.753665
-80.61083,100,6.724383
-70.399062,100,8.473369
-87.54539,100,10.242666
-87.449148,100,11.700921
-72.559313,100,13.342102
-151.778149,100,14.974967
-67.076149,100,16.59147
-83.889194,100,18.078168
-94.847869,100,19.580656
-90.878423,100,21.206317
-85.000019,100,22.64674
-79.402129,100,24.197729
-53.490399,100,25.750621
-68.313361,100,27.237869
-89.511318,100,28.722206
-48.184207,100,30.696543
-98.445101,100,32.489954
-158.521504,100,34.480721
-74.977979,100,36.660544
-85.107322,100,38.802776
-113.685178,100,40.831262
-83.35959,100,42.779707
-76.723848,100,44.828165
-111.3032,100,46.561893
-92.694621,100,48.124048
-60.285153,100,50.07406
-133.952858,100,52.078691
-78.620118,100,54.182513
-83.801211,100,56.325912
-77.987586,100,58.262018
-101.694772,100,59.982617
-112.230808,100,61.9467
-97.071131,100,63.717341
-70.013171,100,65.694341
-69.213737,100,67.798357
-85.298716,100,69.635763
-82.048556,100,71.363206
-99.547711,100,73.410564
-58.21928,100,75.54073
-64.128203,100,77.580828
-86.780352,100,79.551075
-185.019703,100,81.3221
-98.972996,100,82.78898
-70.781193,100,84.513542
-126.598229,100,86.323432
-80.972843,100,87.923121
-110.098554,100,89.379118
-103.114155,100,90.864263
-72.104277,100,92.278254
-157.056041,100,94.435003
-82.842324,100,96.326547
-97.015096,100,97.969792
-118.932983,100,99.863278
-68.217599,100,101.841978
-93.647123,100,103.645854
-152.469576,100,105.807608
-95.898671,100,108.006348
-89.263058,100,109.597831
-90.568638,100,111.371655
-63.136179,100,113.212281
-94.799123,100,114.856194
-60.997663,100,116.856376
-93.706907,100,118.400748
-76.08768,100,120.101481
-84.264128,100,122.232008
-99.628284,100,123.895322
-95.008279,100,125.463684
-64.106949,100,127.228256
-110.630496,100,129.322057
-171.002052,100,131.173469
-61.700546,100,132.868285
-85.449739,100,134.790059
-62.842351,100,136.563503
-66.978351,100,138.496474
-110.851459,100,140.258978
-59.445616,100,141.87127
-63.988062,100,143.628994
-60.563602,100,145.709596
-58.791271,100,147.713199
-118.184439,100,149.473844
-66.422017,100,151.541761
-56.630709,100,153.189023
-193.553617,100,155.037541
-113.267123,100,156.962448
-71.311958,100,158.427388
-89.573864,100,160.205517
-71.733825,100,162.203468
-78.020921,100,164.170797
-98.758213,100,165.935047
-80.081308,100,168.142831
-93.664689,100,170.054837
-172.548173,100,171.870885
-73.81116,100,173.866622
-56.285628,100,175.851036
-74.545318,100,178.072959
-162.870476,100,179.931157
-87.834767,100,181.569917
-83.734927,100,183.38594
-85.843955,100,185.273074
-73.379203,100,187.312445
-70.915552,100,189.285572
-58.132407,100,191.027155
-63.396827,100,192.455012
-78.493743,100,194.039792
-67.165401,100,195.943761
-93.810172,100,198.053759
-95.055248,100,200.013528
-89.344726,100,201.424013
-78.292687,100,203.016999
-73.427182,100,205.060651
-86.999471,100,207.273959
-100.991037,100,208.73692
-73.623991,100,210.341863
-49.085643,100,212.024156
-76.900495,100,213.529443
-71.85966,100,215.226291
-69.650074,100,216.717889
-88.895781,100,218.825362
-81.856574,100,221.276673
-70.843902,100,223.153027
-81.684768,100,225.079642
-181.298651,100,226.681429
-113.32072,100,228.450132
-106.233492,100,230.094081
-68.777181,100,232.454914
-216.808905,100,234.049205
-89.260642,100,235.926583
-53.001934,100,237.626965
-48.315179,100,239.276923
-81.666572,100,240.852325
-69.250198,100,242.674294
-124.508106,100,244.376407
-147.440841,100,246.100389
-59.013732,100,248.053735
-81.421625,100,250.143305
-97.509253,100,252.022927
-44.826779,100,253.731807
-75.684298,100,255.490081
-93.387146,100,257.106698
-65.193418,100,258.843369
-74.506318,100,260.842109
-89.211733,100,263.007699
-89.838606,100,264.849699
-106.529409,100,266.556174
-90.893551,100,268.639223
-81.111526,100,270.321803
-125.410033,100,272.191155
-80.808565,100,274.38341
-78.271849,100,276.228743
-62.514429,100,278.197203
-90.919456,100,279.977568
-52.118883,100,281.690504
-89.477139,100,283.623503
-83.711781,100,285.122238
-76.086984,100,286.894172
-79.407658,100,288.712374
-77.179592,100,290.862299
-109.861826,100,293.104725
-64.880265,100,295.404942
-95.968815,100,297.387239
-200.019434,100,299.45327
-116.578255,100,301.735295
-148.003535,100,303.423512
-187.266202,100,305.184525
-208.704429,100,307.502617
-135.454817,100,309.743986
-82.077753,100,311.255
-46.906167,100,312.816775
-78.57941,100,314.870291
-68.848148,100,316.935972
-82.909312,100,318.852499
-90.627659,100,320.957859
-62.952395,100,322.978993
-86.031141,100,324.956136
-183.669775,100,326.706692
-74.661931,100,328.595385
-61.313192,100,330.417932
-90.334647,100,332.589754
-121.056377,100,334.894069
-60.728126,100,336.855726
-161.862851,100,338.811928
-74.27896,100,340.971068
-62.10057,100,343.184566
-59.759882,100,345.040289
-71.901865,100,347.033291
-87.042825,100,349.22904
-46.999141,100,351.896863
-78.303298,100,354.017316
-74.693688,100,356.060235
-140.713431,100,358.014177
-59.010287,100,359.997519
-65.811819,100,362.116175
-57.459807,100,364.08674
-52.846492,100,365.839334
-79.905739,100,367.411621
-69.16383,100,369.217101
-152.233941,100,370.917597
-59.820749,100,372.533111
-118.526856,100,374.520469
-61.256072,100,376.196202
-76.814429,100,378.364609
-112.428897,100,380.323174
-62.589015,100,382.149794
-73.473052,100,383.745445
-106.902812,100,385.506533
-76.217597,100,387.276719
-64.120433,100,389.340293
-70.098906,100,390.854843
-53.825862,100,392.579787
-124.413032,100,394.593091
-58.609898,100,396.572147
-99.516308,100,398.586057
-77.024566,100,400.726434
-59.413062,100,402.575032
-112.591156,100,404.444216
-66.136129,100,406.123948
-85.835598,100,407.91439
-57.479204,100,409.58017
-105.412676,100,411.536515
-56.29253,100,413.769731
-74.449353,100,415.34143
-95.384011,100,416.803564
-62.335867,100,418.630311
-93.170515,100,420.492986
-98.970342,100,422.041614
-82.979058,100,423.703414
-122.213242,100,425.097776
-95.190937,100,427.076891
-101.765265,100,429.074486
-117.61093,100,430.767971
-73.208661,100,432.781352
-88.141379,100,434.808401
-88.662398,100,436.361209
-86.876034,100,438.086909
-116.232581,100,440.166209
-85.43346,100,442.142374
-88.601454,100,443.889513
-87.894698,100,445.595911
-130.839856,100,447.186539
-83.271169,100,448.753649
-86.655627,100,450.626624
-118.577608,100,452.541442
-92.467082,100,454.261612
-119.888495,100,456.280668
-99.923844,100,458.599246
-121.674983,100,460.271932
-119.58117,100,462.09789
-130.221329,100,463.848073
-96.33599,100,465.254937
-106.25669,100,466.586511
-96.606128,100,468.314192
-132.880906,100,470.000849
-91.554352,100,472.045631
-91.366495,100,474.012796
-99.737317,100,475.856328
-120.822241,100,477.754919
-95.658847,100,479.552014
-96.312435,100,480.964231
-124.69016,100,482.414188
-98.025969,100,483.837604
-87.080008,100,485.51721
-98.364745,100,487.301117
-72.607559,100,489.074665
-101.625223,100,490.776788
-80.740652,100,492.657007
-85.053191,100,494.764411
-92.766795,100,496.562962
-112.902065,100,498.253024
-105.976022,100,500.33922
-101.370374,100,502.311302
-98.379713,100,503.909971
-95.422524,100,505.80361
-123.746545,100,507.615694
-122.882428,100,509.15311
-107.303722,100,510.941135
-92.141286,100,512.625225
-123.879829,100,513.999034
-100.33768,100,515.542826
-97.414726,100,517.220927
-119.852076,100,519.088691
-76.010486,100,520.611131
-115.93826,100,522.02652
-102.121083,100,523.523885
-86.170288,100,525.168377
-97.16195,100,527.099284
-88.972136,100,528.995836
-246.731792,100,530.76076
-97.256743,100,532.507445
-98.639546,100,534.525184
-100.744284,100,536.057138
-100.230716,100,537.983881
-116.297674,100,540.020321
-89.486306,100,542.027165
-126.557027,100,543.899855
-88.854527,100,545.249506
-87.364006,100,546.886412
-121.126739,100,548.907495
-99.559998,100,550.862649
-92.508827,100,552.90752
-94.442605,100,554.848293
-101.799182,100,556.475269
-92.196579,100,558.084331
-111.092751,100,559.696332
-94.991983,100,561.073338
-78.212352,100,562.522505
-78.134867,100,564.045254
-99.361352,100,565.68517
-78.123647,100,567.193389
-89.619297,100,569.136537
-131.261179,100,570.897057
-89.46069,100,572.506455
-81.453876,100,574.27809
-108.721958,100,576.445145
-62.136034,100,578.147177
-197.731262,100,580.093464
-98.69159,100,581.930406
-80.741313,100,583.49704
-87.331039,100,585.325309
-70.682435,100,587.320864
-83.151071,100,589.330206
-91.175562,100,591.39905
-107.239534,100,593.306209
-97.642704,100,595.081896
-85.496758,100,596.888438
-109.311819,100,598.763386
-158.146139,100,600.571033
-86.143433,100,602.420569
-85.787516,100,604.650084
-151.54828,100,606.524159
-83.635184,100,608.170485
-92.572715,100,609.777308
-109.834835,100,611.395079
-85.882198,100,613.064936
-81.223743,100,614.808987
-113.228756,100,616.382466
-87.090378,100,618.451909
-108.263748,100,620.534299
-106.664345,100,622.219432
-92.889972,100,624.109402
-98.246793,100,625.952139
-78.456848,100,627.800176
-79.23737,100,629.323832
-90.521436,100,630.763564
-70.682525,100,632.362983
-90.894036,100,634.14481
-101.55608,100,635.917483
-49.06523,100,637.670086
-73.210801,100,639.42474
-85.655201,100,640.898312
-81.315646,100,642.565922
-90.393583,100,644.317635
-97.489534,100,645.963493
-88.742994,100,647.537818
-94.378218,100,649.418802
-72.762914,100,651.077557
-80.533273,100,652.614175
-104.216138,100,654.594095
-86.174365,100,656.517568
-87.141895,100,658.158759
-108.921195,100,660.042554
-83.723804,100,661.999895
-85.459174,100,664.103056
-108.456269,100,666.272206
-85.184923,100,668.037676
-76.870167,100,670.31119
-88.097469,100,672.265856
-87.776737,100,673.995583
-69.048082,100,675.91983
-106.431626,100,677.994732
-96.165073,100,679.837818
-95.696632,100,681.892209
-85.246316,100,683.467491
-72.271138,100,685.333608
-82.459469,100,687.556676
-114.051513,100,689.277087
-101.50771,100,691.023475
-92.464619,100,692.620079
-105.41583,100,694.398682
-104.751387,100,696.514164
-91.026135,100,698.539124
-100.359671,100,700.513203
-99.232508,100,702.077832
-159.112316,100,703.663496
-91.700921,100,705.396331
-108.177659,100,707.216685
-105.886635,100,708.781366
-113.884806,100,710.202693
-105.406044,100,712.159434
-100.046838,100,714.217536
-101.370683,100,715.961832
-99.276245,100,717.406533
-95.318537,100,719.321287
-128.786312,100,720.850734
-136.922702,100,722.38259
-138.617445,100,724.275561
-99.230822,100,725.694575
-103.338179,100,727.47333
-100.804809,100,729.48338
-101.175892,100,731.769254
-100.102719,100,733.286818
-98.661584,100,734.959936
-131.30573,100,736.57764
-120.330191,100,738.173781
-142.299717,100,740.260402
-115.217302,100,741.963499
-146.611248,100,744.176229
-126.077088,100,745.980845
-117.465153,100,747.900001
-104.945653,100,749.835145
-105.188742,100,751.292893
-121.379515,100,752.873519
-97.705891,100,754.47686
-113.401572,100,756.04028
-129.890945,100,757.465895
-107.027121,100,759.206161
-110.854422,100,761.085759
-132.631598,100,763.079854
-112.724917,100,765.013519
-124.997053,100,767.099233
-111.330412,100,769.194089
-106.866405,100,770.926126
-121.721102,100,772.464597
-109.033169,100,774.402316
-107.331514,100,776.540778
-106.188941,100,778.495814
-107.288947,100,780.190165
-111.058749,100,782.264743
-107.531624,100,783.76453
-131.082469,100,785.400879
-115.522569,100,787.236952
-116.45644,100,789.17535
-97.365031,100,790.985223
-105.115623,100,792.881986
-124.278846,100,794.670123
-114.114398,100,796.439018
-111.285911,100,798.23515
-107.860285,100,800.255417
-120.814661,100,802.305785
-117.899065,100,804.384624
-134.927858,100,806.46709
-136.828987,100,807.963013
-104.56792,100,809.408363
-101.556162,100,810.951506
-117.866876,100,813.118959
-106.479526,100,814.74987
-122.005041,100,816.68991
-111.021104,100,818.294191
-146.073896,100,820.022306
-110.570374,100,821.718386
-144.524136,100,823.775294
-128.738947,100,825.792528
-106.517608,100,827.922753
-110.453058,100,829.767729
-108.29244,100,831.739223
-128.173009,100,833.440633
-110.318469,100,835.692067
-99.617382,100,837.629853
-104.0847,100,839.714971
-118.867148,100,841.60013
-110.314341,100,843.37617
-129.269413,100,845.259148
-105.033573,100,847.118575
-122.21378,100,848.669166
-125.984036,100,850.403106
-112.251449,100,852.487095
-146.171217,100,854.097153
-139.055969,100,855.628604
-120.17941,100,857.162029
-131.445147,100,858.699993
-135.131283,100,860.204635
-146.998528,100,862.121251
-123.517589,100,863.859639
-104.663532,100,866.048223
-126.026667,100,867.521888
-112.976353,100,869.386516
-141.467208,100,871.182626
-132.431509,100,872.995091
-111.952501,100,874.841485
-135.585953,100,876.806012
-121.7546,100,878.764186
-138.955708,100,880.682948
-125.216902,100,882.720687
-137.329022,100,885.085624
-115.194553,100,886.757629
-115.732237,100,888.513539
-109.827911,100,890.267139
-113.727784,100,892.014439
-113.656562,100,893.725057
-121.777556,100,895.903586
-107.179616,100,898.065027
-123.914414,100,900.150295
-137.467483,100,901.758474
-134.237013,100,903.405339
-121.356139,100,905.488597
-123.996194,100,907.303242
-113.523849,100,908.796212
-118.744738,100,910.88852
-96.296032,100,912.885832
-114.584967,100,914.554107
-116.081315,100,916.530301
-147.415614,100,918.395855
-132.071763,100,919.938554
-128.591461,100,921.82812
-117.229696,100,923.777649
-139.925369,100,925.521982
-115.064353,100,927.435513
-144.658872,100,929.228309
-120.684099,100,930.918518
-114.568486,100,932.991549
-117.741238,100,934.651124
-125.298971,100,936.625247
-145.671235,100,938.499686
-117.805034,100,940.408356
-138.441809,100,942.357466
-140.643793,100,944.35257
-130.509552,100,946.550007
-109.911591,100,948.620692
-109.817676,100,950.62215
-118.77651,100,952.721055
-110.859697,100,954.6959
-114.982877,100,956.798223
-155.840249,100,958.717639
-96.860547,100,960.294731
-102.963259,100,961.976045
-93.438325,100,963.857066
-138.542541,100,965.597314
-120.770882,100,967.334571
-118.84058,100,968.827587
-135.038164,100,970.670654
-139.132979,100,972.251309
-130.746757,100,973.826189
-148.071566,100,975.477847
-118.203145,100,977.664818
-147.458652,100,979.715837
-118.976512,100,981.503337
-117.816068,100,983.190567
-146.864005,100,984.665457
-109.859994,100,986.252587
-139.351432,100,987.887754
-148.154103,100,989.71631
-142.08857,100,991.489264
-155.0466,100,993.306299
-138.760738,100,995.195125
-128.549946,100,996.928148
-139.203994,100,998.898508
-127.375323,100,1000.811711
-124.466169,100,1002.558671
-118.158686,100,1004.420637
-120.485025,100,1006.463464
-142.569193,100,1008.371606
-144.404339,100,1009.959828
-123.477249,100,1011.659526
-147.557242,100,1013.24041
-134.490424,100,1015.223292
-140.931226,100,1016.874625
-123.307484,100,1018.689527
-115.190305,100,1020.330043
-123.003999,100,1022.239609
-117.273726,100,1023.882914
-119.551861,100,1025.980305
-135.728078,100,1027.573763
-112.284966,100,1029.88711
-129.621943,100,1032.106385
-142.676895,100,1033.897484
-119.314628,100,1035.676063
-160.379217,100,1037.715749
-111.763163,100,1039.513894
-140.748647,100,1041.278583
-108.248597,100,1043.452965
-109.996343,100,1045.527349
-138.400161,100,1047.516644
-148.667618,100,1049.52054
-123.883167,100,1051.503959
-117.969519,100,1053.285588
-115.995269,100,1054.986103
-131.699454,100,1056.830949
-154.533689,100,1058.579337
-122.312828,100,1060.39553
-124.478087,100,1062.421783
-142.517147,100,1064.234457
-140.834036,100,1066.219736
-106.055827,100,1068.212489
-124.340679,100,1070.092409
-124.995666,100,1072.046101
-125.860393,100,1073.895884
-133.301138,100,1075.748428
-143.448855,100,1078.004061
-126.133041,100,1079.907233
-122.020762,100,1081.868587
-156.718514,100,1083.436938
-160.873821,100,1085.057335
-118.667372,100,1086.506319
-156.354704,100,1088.109984
-139.228305,100,1090.151196
-120.147763,100,1092.300543
-126.690522,100,1094.199597
-154.761424,100,1095.935745
-155.170711,100,1097.9386
-117.73046,100,1099.989247
-147.263136,100,1101.511047
-117.062471,100,1103.416405
-117.754046,100,1105.133557
-139.046571,100,1106.984291
-155.647802,100,1108.805968
-135.290198,100,1110.523008
-120.641864,100,1112.035291
-118.611156,100,1113.845154
-124.810673,100,1115.704013
-115.66538,100,1117.598876
-114.813106,100,1119.377819
-125.615224,100,1121.768143
-140.512596,100,1123.562733
-135.227939,100,1125.518354
-117.389898,100,1127.458502
-142.506168,100,1129.636085
-127.55545,100,1131.659535
-138.466767,100,1133.710998
-129.734003,100,1135.660314
-143.756896,100,1137.161313
-127.597243,100,1139.262853
-124.344813,100,1141.381006
-124.682747,100,1143.363799
-128.857882,100,1145.230581
-122.089339,100,1147.150661
-123.908525,100,1148.829291
-157.007767,100,1150.402207
-108.597542,100,1152.395327
-107.86461,100,1154.747872
-115.792892,100,1156.406598
-135.567001,100,1158.127273
-123.304726,100,1160.03391
-118.640818,100,1162.163628
-146.691105,100,1164.090048
-128.56788,100,1166.04214
-114.398323,100,1168.109801
-115.354638,100,1170.143456
-100.774439,100,1172.255566
-147.270199,100,1173.927793
-125.525002,100,1175.943127
-137.430367,100,1177.902481
-136.403062,100,1180.419183
-109.410347,100,1182.466739
-111.507647,100,1184.64781
-141.458912,100,1186.865888
-142.456204,100,1188.865938
-125.765088,100,1190.501095
-152.511242,100,1192.598232
-119.665124,100,1194.840676
-125.319086,100,1196.918456
-149.307764,100,1199.106521
-116.00207,100,1201.16164
-154.180521,100,1202.561405
-124.686531,100,1204.504625
-128.489765,100,1206.413721
-92.89857,100,1208.630243
-127.940779,100,1210.152802
-143.349607,100,1211.83787
-101.265356,100,1213.952867
-142.404412,100,1216.062911
-109.669431,100,1218.225759
-96.300139,100,1220.653845
-115.117759,100,1222.815598
-117.651633,100,1225.627208
-108.256377,100,1228.094069
-126.083492,100,1230.568956
-107.865222,100,1232.202224
-129.019015,100,1234.504738
-113.151403,100,1236.400807
-129.072276,100,1238.181065
-112.718904,100,1240.228828
-104.123458,100,1242.189678
-135.409303,100,1244.144179
-139.766011,100,1246.300936
-139.588497,100,1248.544598
-157.77594,100,1250.773666
-144.732842,100,1252.58045
-101.065809,100,1254.740196
-102.101619,100,1257.190135
-111.411529,100,1259.267076
-110.141173,100,1260.988582
-106.800731,100,1262.912932
-125.853265,100,1265.219924
-132.691375,100,1267.277196
-102.098666,100,1268.956682
-146.525246,100,1270.642045
-104.546589,100,1272.355592
-121.237004,100,1274.572616
-103.792725,100,1276.589454
-83.939364,100,1278.546196
-81.780934,100,1280.857703
-121.850945,100,1283.041492
-126.819826,100,1285.217229
-102.71851,100,1287.517623
-123.376902,100,1289.766099
-144.493469,100,1292.022374
-119.665733,100,1294.341968
-123.698037,100,1296.48475
-115.11678,100,1298.387583
-129.932332,100,1300.016827
-118.872756,100,1301.693796
-106.717321,100,1303.534642
-125.822074,100,1305.576699
-128.769081,100,1307.647361
-96.025608,100,1309.774922
-137.941758,100,1311.490456
-120.098422,100,1313.228193
-112.669259,100,1315.228687
-121.967569,100,1317.039217
-111.898922,100,1319.160055
-108.82447,100,1321.509815
-150.661966,100,1323.478757
-132.953272,100,1325.433068
-152.220826,100,1327.376539
-126.515462,100,1328.965051
-131.775163,100,1330.759754
-112.878814,100,1332.433289
-138.840957,100,1333.897552
-122.395593,100,1335.431335
-110.00166,100,1337.212035
-109.084441,100,1339.572788
-137.938509,100,1341.643529
-123.475532,100,1343.537627
-145.1684,100,1345.656173
-150.156295,100,1347.187916
-114.985796,100,1349.155104
-155.391467,100,1351.034851
-120.676201,100,1353.11823
-108.66766,100,1355.115671
-120.895766,100,1357.351013
-154.01608,100,1359.026976
-117.143827,100,1360.532039
-132.790408,100,1362.204847
-140.278041,100,1363.753041
-108.146908,100,1365.654516
-145.758271,100,1367.261825
-117.735372,100,1369.134239
-152.169841,100,1370.875262
-133.348094,100,1372.820401
-151.445809,100,1374.914599
-136.770194,100,1376.872141
-127.434063,100,1379.00454
-117.983428,100,1380.955314
-121.126033,100,1382.716088
-130.798449,100,1384.390341
-150.69358,100,1385.993834
-153.384568,100,1387.55412
-134.823201,100,1389.203585
-116.752575,100,1391.106059
-119.285659,100,1393.160695
-150.438644,100,1394.741348
-147.975487,100,1396.442042
-140.172089,100,1398.551838
-112.234165,100,1400.398408
-121.949152,100,1402.257658
-144.755475,100,1404.220664
-150.044816,100,1406.27101
-145.040454,100,1408.012454
-138.949142,100,1409.720913
-120.644465,100,1411.969682
-129.402366,100,1414.044703
-139.624775,100,1416.102733
-127.301492,100,1418.007095
-138.304615,100,1419.788562
-118.085666,100,1421.372264
-123.257813,100,1423.048721
-134.173355,100,1425.163944
-130.563794,100,1427.000222
-129.669456,100,1428.82109
-117.341095,100,1430.79461
-145.452267,100,1432.414797
-117.358134,100,1433.959373
-151.94257,100,1435.751681
-134.119921,100,1437.633143
-142.621599,100,1439.408309
-136.670836,100,1441.095203
-144.503594,100,1442.728709
-141.656713,100,1444.481301
-132.311249,100,1446.090961
-151.114977,100,1448.156759
-119.473382,100,1449.928389
-136.171654,100,1451.753788
-146.172225,100,1453.480723
-127.972749,100,1455.089503
-155.929934,100,1456.602783
-146.768097,100,1458.654116
-130.214312,100,1460.715595
-149.021705,100,1462.78696
-133.419989,100,1465.029794
-131.340381,100,1467.196024
-128.53511,100,1468.925009
-136.206184,100,1470.530763
-113.922184,100,1472.22058
-135.734266,100,1473.928154
-120.2881,100,1475.613198
-119.627303,100,1477.557761
-121.484496,100,1479.216196
-139.200392,100,1480.892851
-122.144931,100,1482.400768
-119.079679,100,1484.354765
-158.616055,100,1486.17149
-121.398273,100,1488.294483
-129.674705,100,1490.468444
-151.820677,100,1492.714846
-149.044074,100,1495.063515
-129.769995,100,1497.285207
-127.936887,100,1499.152259
-140.493028,100,1500.783341
-129.531999,100,1502.716108
-155.023838,100,1504.25852
-127.274603,100,1505.930572
-126.605258,100,1507.414783
-118.848943,100,1509.525907
-132.835261,100,1511.477677
-129.253585,100,1513.312052
-145.054495,100,1515.167456
-157.466513,100,1516.701816
-106.910747,100,1518.411666
-140.975464,100,1520.372448
-122.091499,100,1522.483186
-139.247194,100,1524.342376
-117.753206,100,1525.966796
-136.842501,100,1527.43285
-140.464103,100,1529.025311
-121.104725,100,1530.878421
-117.336578,100,1532.500323
-110.182242,100,1534.308325
-109.578364,100,1535.938455
-128.829752,100,1537.859661
-129.582926,100,1540.234025
-145.042097,100,1542.222358
-133.200333,100,1544.382066
-114.750308,100,1546.684771
-122.704138,100,1548.796883
-130.824282,100,1550.785597
-143.164475,100,1552.5103
-132.245871,100,1554.582301
-115.159705,100,1556.561346
-137.404663,100,1558.268351
-113.405014,100,1560.380223
-134.928328,100,1562.481572
-109.890691,100,1564.495899
-134.000408,100,1566.63534
-116.296894,100,1568.962938
-127.796288,100,1571.04037
-132.812537,100,1573.25777
-122.664381,100,1575.291466
-123.86459,100,1577.170828
-134.446372,100,1578.795406
-123.661516,100,1580.56028
-108.665651,100,1582.596005
-114.773396,100,1584.889328
-113.063024,100,1587.10924
-128.642094,100,1588.961291
-133.587894,100,1590.920436
