#{"t_start": 1543652014.844015, "env_id": "BaxterReachEnv-v1"}
r,l,t
-78.838986,100,2.86755
-93.066686,100,4.490488
-93.313152,100,6.129597
-66.27344,100,7.890342
-75.479313,100,9.533869
-65.638354,100,11.097584
-75.856096,100,12.521215
-61.00735,100,14.523642
-77.509633,100,16.28302
-63.868054,100,18.195295
-72.209602,100,20.090572
-70.087447,100,22.09104
-64.998692,100,23.85857
-86.788403,100,25.906213
-70.833457,100,27.848648
-56.887335,100,29.866269
-81.019769,100,31.804205
-83.937675,100,33.470563
-77.708722,100,35.262458
-55.735485,100,37.373468
-78.688782,100,39.053558
-76.663615,100,41.047289
-65.900269,100,42.86373
-67.152626,100,44.726118
-66.267619,100,46.399805
-66.960125,100,48.125245
-78.857591,100,49.982594
-83.445093,100,51.530847
-64.099581,100,53.056718
-84.566517,100,54.902576
-53.258968,100,56.583088
-89.660696,100,58.093193
-79.639937,100,59.89096
-63.855028,100,61.680195
-76.844741,100,63.658303
-60.661943,100,65.540682
-77.748942,100,67.042602
-98.762763,100,68.449608
-79.136056,100,70.108348
-64.537812,100,71.711061
-63.135357,100,73.416855
-80.975449,100,75.207264
-76.117788,100,77.353182
-86.015196,100,79.123976
-82.946614,100,80.865158
-68.356377,100,82.32978
-87.229045,100,83.90929
-66.163868,100,85.834911
-80.377275,100,87.71828
-86.641826,100,89.647265
-67.381901,100,91.166538
-94.413399,100,93.049109
-73.600522,100,95.201873
-86.647847,100,96.865558
-67.049107,100,98.376745
-65.274012,100,100.233083
-80.117144,100,102.096234
-65.867993,100,104.086203
-69.382822,100,105.638396
-71.437928,100,107.125303
-84.133589,100,108.647326
-60.530418,100,110.492657
-95.526285,100,112.17205
-86.277072,100,113.834471
-62.090125,100,115.805105
-63.692442,100,117.85804
-53.111783,100,119.926834
-74.587203,100,121.600286
-58.737531,100,123.689673
-85.985505,100,125.261839
-66.607229,100,126.965628
-86.903998,100,128.956432
-88.287001,100,130.642161
-57.180229,100,132.754415
-68.099988,100,135.010431
-66.736401,100,136.908892
-72.291459,100,138.821837
-77.854038,100,140.798383
-45.938188,100,142.516448
-80.909815,100,144.379275
-62.78243,100,146.664764
-73.703691,100,148.583705
-63.353933,100,150.723909
-78.439418,100,152.697369
-60.214869,100,154.541997
-78.0212,100,156.484842
-69.221154,100,158.446566
-58.513024,100,160.727984
-56.869616,100,162.855734
-69.862335,100,164.868622
-61.372276,100,166.607134
-58.877257,100,168.62953
-66.927451,100,170.57309
-63.750745,100,172.941542
-70.491701,100,175.055564
-62.553353,100,177.186032
-70.853001,100,179.251711
-59.156615,100,181.133457
-58.143279,100,182.980628
-72.633091,100,184.859212
-63.256674,100,186.702856
-60.874648,100,188.374654
-64.31296,100,190.0435
-48.321449,100,192.03424
-52.512252,100,194.054258
-64.502618,100,196.236491
-63.013112,100,197.96821
-66.349573,100,199.78821
-63.405105,100,201.821523
-65.015806,100,203.775481
-60.045138,100,205.720973
-73.630395,100,207.608813
