#{"t_start": 1543683306.4481556, "env_id": "BaxterReachEnv-v1"}
r,l,t
-35.135991,100,3.079968
-35.135991,100,4.998016
-35.135991,100,6.851907
-35.135991,100,8.579592
-34.251018,100,10.084149
-35.135991,100,11.470497
-35.135991,100,13.036001
-30.464745,100,15.17586
-35.135991,100,16.763379
-35.135991,100,18.646494
-35.135991,100,20.70209
-35.135991,100,22.640015
-35.135991,100,24.271046
-35.135991,100,25.955187
-35.135991,100,27.53085
-35.135991,100,29.282964
-35.135991,100,31.189799
-35.279832,100,32.684403
-35.135991,100,34.128403
-35.135991,100,35.58326
-31.738196,100,36.99199
-35.135991,100,38.482744
-35.135991,100,40.174679
-35.135991,100,41.996006
-35.135991,100,43.806729
-30.424162,100,45.728601
-33.708593,100,47.844899
-35.135991,100,49.822194
-35.135991,100,51.565093
-35.135991,100,53.273714
-35.135991,100,55.08265
-35.135991,100,56.775842
-35.135991,100,58.173324
-35.135991,100,59.743145
-35.135991,100,61.646996
-31.256476,100,63.473374
-34.715789,100,65.366061
-35.135991,100,67.185582
-35.135991,100,69.308125
-35.135991,100,71.176634
-35.135991,100,73.051787
-35.135991,100,74.512602
-35.135991,100,75.975484
-35.135991,100,77.76024
-35.135991,100,79.484382
-35.135991,100,81.182246
-35.135991,100,83.170873
-35.135991,100,85.037917
-35.066664,100,86.556869
-34.690582,100,88.03038
-35.135991,100,89.598156
-35.135991,100,91.960507
-35.135991,100,93.912364
-35.135991,100,95.844526
-30.822826,100,97.692735
-32.059461,100,99.761906
-35.135991,100,101.716211
-35.135991,100,103.505633
-35.135991,100,105.253834
-37.371008,100,107.251089
-35.135991,100,109.218385
-28.815332,100,110.99832
-35.135991,100,113.113299
-35.135991,100,115.056494
-35.135991,100,117.310288
-35.135991,100,119.132144
-35.135991,100,121.233037
-35.135991,100,123.252179
-33.737725,100,125.310911
-35.135991,100,127.156252
-35.135991,100,128.790597
-35.135991,100,130.46234
-32.510201,100,132.195515
-34.101601,100,133.975725
-35.135991,100,135.849222
-35.135991,100,137.811357
-35.135991,100,139.424627
