#{"t_start": 1543713786.9574082, "env_id": "BaxterReachEnv-v1"}
r,l,t
-35.135991,100,2.944583
-35.135991,100,5.143833
-35.135991,100,7.236776
-35.135991,100,9.262597
-32.993033,100,11.645709
-35.135991,100,13.750608
-35.135991,100,15.726164
-35.135991,100,17.947055
-35.135991,100,19.940756
-35.135991,100,22.005903
-35.135991,100,24.22986
-35.135991,100,26.328878
-35.135991,100,28.524396
-35.135991,100,30.64914
-35.135991,100,32.752648
-35.135991,100,34.885522
-35.135991,100,37.311489
-35.135991,100,39.422941
-35.135991,100,41.835377
-35.135991,100,43.885897
-35.135991,100,45.954797
-35.135991,100,48.126577
-35.135991,100,50.022552
-35.135991,100,52.179472
-35.135991,100,54.281936
-35.135991,100,56.498724
-35.135991,100,58.616933
-33.639829,100,60.759425
-35.135991,100,62.783823
-35.135991,100,64.7607
-35.135991,100,66.82793
-35.135991,100,68.787461
-35.135991,100,70.976061
-35.135991,100,72.7317
-35.135991,100,74.757088
-35.135991,100,76.89881
-35.135991,100,78.900445
-35.135991,100,80.880469
-32.275632,100,83.269253
-35.135991,100,85.324659
-35.135991,100,87.329833
-35.135991,100,89.465008
-35.135991,100,91.566482
-35.135991,100,93.606474
-35.135991,100,95.704426
-35.135991,100,97.796287
-35.135991,100,99.885144
-35.135991,100,101.920391
-35.135991,100,103.874996
-35.135991,100,105.997524
-35.135991,100,108.115912
-35.135991,100,110.470799
-35.135991,100,112.511722
-35.135991,100,114.744349
-35.135991,100,117.099261
-25.747271,100,119.565419
-33.824035,100,121.828903
-34.608691,100,124.036983
-35.135991,100,126.022629
-35.135991,100,128.147037
-35.135991,100,130.310692
-35.135991,100,132.504591
-35.135991,100,134.575861
-35.135991,100,136.723956
-34.556525,100,138.983654
-35.135991,100,141.106688
-35.135991,100,143.259604
-35.135991,100,145.318596
-35.135991,100,147.375679
-35.135991,100,149.597909
-35.135991,100,151.688854
-35.135991,100,153.997055
-35.135991,100,156.047389
-35.135991,100,158.253128
-35.135991,100,160.236673
-35.135991,100,162.544437
-35.135991,100,164.747898
-35.135991,100,167.038848
-35.135991,100,169.111693
-35.135991,100,171.048363
-35.135991,100,173.241536
-35.135991,100,175.389773
-35.135991,100,177.691436
-35.135991,100,180.007304
-35.135991,100,182.168492
-35.135991,100,184.328931
-35.135991,100,186.327194
-35.135991,100,188.47842
-35.135991,100,190.674244
-35.135991,100,192.682295
-35.135991,100,194.842886
-33.701987,100,196.923058
-35.135991,100,199.030278
-35.135991,100,201.215743
-35.135991,100,203.275301
-35.135991,100,205.113488
-35.184328,100,207.317487
-35.135991,100,209.322486
-35.135991,100,212.005356
-35.135991,100,214.113387
-31.89225,100,216.588075
-35.135991,100,218.881733
-35.135991,100,220.933153
-35.135991,100,223.093222
-35.132714,100,225.329255
-34.717222,100,227.793863
-35.135991,100,230.070463
-35.135991,100,232.389336
-35.135991,100,234.65403
-35.301141,100,237.120062
-35.18962,100,239.382886
-35.135991,100,241.596466
-35.135991,100,243.814294
-35.135991,100,246.522008
-35.135991,100,248.890505
-35.135991,100,251.153474
-31.72026,100,253.553068
-35.135991,100,255.919441
-35.135991,100,258.282822
-20.82727,100,261.039201
-35.135991,100,263.446227
-27.749605,92,265.776567
-35.135991,100,268.289103
-29.81687,100,270.793577
-35.135991,100,273.200172
-35.135991,100,275.67018
-35.135991,100,278.19835
-35.135991,100,280.713299
-35.135991,100,283.168961
-34.838693,100,285.714258
-26.311572,100,288.280084
-35.135991,100,290.599723
-35.135991,100,292.961383
-7.026374,28,293.679671
-28.217914,100,296.395823
-31.193012,100,298.970085
-6.850132,31,299.781008
-20.805577,100,302.495721
-35.47777,100,305.016065
-11.353056,46,306.14
-7.798774,29,306.947124
-10.600247,42,308.049761
-35.135991,100,310.520851
-8.565434,35,311.429024
-32.717022,100,314.282841
-35.135991,100,316.757021
-35.135991,100,319.240463
-30.3051,100,321.92943
-33.511737,100,324.671349
-33.00578,100,327.327771
-35.135991,100,329.729235
-7.500022,28,330.490599
-18.846935,63,332.05714
-11.363494,44,333.258215
-35.135991,100,335.910397
-35.135991,100,338.403557
-35.135991,100,341.052623
-9.983649,34,342.028777
-8.455216,30,342.837684
-35.135991,100,345.440794
-13.387383,49,346.575229
-10.073711,38,347.636215
-35.135991,100,350.31285
-11.815229,40,351.369836
-35.135991,100,354.162909
-22.312622,69,355.992105
-9.107195,32,356.801106
-34.609733,100,359.296939
-35.135991,100,361.647582
-35.135991,100,364.341655
-9.370125,34,365.308119
-5.617556,21,365.958297
-6.846748,26,366.707278
-34.714699,100,369.288753
-25.925209,100,371.969575
-6.176579,23,372.558269
-6.154563,24,373.127749
-10.113938,37,374.130368
-35.135991,100,376.554519
-35.135991,100,378.928262
-9.963136,35,379.850153
-7.456472,29,380.642687
-30.609762,100,383.14269
-35.135991,100,385.821035
-8.207511,28,386.597805
-35.135991,100,389.134036
-35.135991,100,391.642097
-35.135991,100,394.169869
-35.135991,100,396.693923
-32.336575,100,399.236263
-23.360552,72,401.044201
-10.387864,36,402.070053
-35.027772,100,404.848786
-28.753275,100,407.485957
-33.092784,100,410.15516
-32.928281,100,412.708077
-8.877359,32,413.591993
-6.467228,24,414.213807
-6.284409,24,414.979559
-6.298156,25,415.5905
-5.680831,22,416.178656
-5.715467,22,416.784176
-35.135991,100,419.46817
-5.381799,21,420.000969
-32.260873,100,422.520657
-5.975275,23,423.114449
-35.135991,100,425.685445
-5.363318,21,426.263579
-6.340158,24,426.821633
-5.849445,22,427.380684
-6.21929,23,428.058941
-30.589887,100,430.652748
-11.71374,39,431.668196
-35.135991,100,434.03145
-6.027001,23,434.516283
-6.009422,23,435.111007
-9.209676,32,435.886109
-24.704891,100,438.405062
-5.756381,23,439.028463
-21.746565,100,441.567373
-31.935941,100,444.328141
-35.135991,100,446.840448
-6.521003,25,447.557163
-6.104709,23,448.149519
-35.047975,100,450.778409
-34.31563,100,453.350501
-6.263723,23,453.891238
-35.113405,100,456.604543
-34.560804,100,459.092512
-35.135991,100,461.767454
-6.051591,23,462.278814
-6.553084,24,462.807292
-5.639769,22,463.413344
-7.403371,26,464.093924
-10.516771,35,465.022256
-35.135991,100,467.620014
-5.627247,22,468.242082
-6.40394,24,468.81183
-34.646375,100,471.272925
-6.165314,24,471.964513
-17.487376,100,474.391872
-16.168088,100,477.193343
-5.263709,20,477.755551
-5.932867,23,478.430309
-5.233302,20,478.82358
-15.61895,100,481.424538
-33.089463,100,483.918274
-33.546365,100,486.587218
-28.219643,100,489.258796
-30.990274,100,491.803672
-6.338816,24,492.501874
-22.66522,100,495.161669
-32.997633,100,497.734464
-32.360617,100,500.351389
-34.22646,100,502.910525
-35.374978,100,505.340234
-24.628878,100,507.841919
-6.036524,23,508.405647
-35.135991,100,510.811127
-35.135991,100,513.319103
-7.487363,27,513.977378
-5.517673,21,514.482392
-25.408401,100,516.93474
-7.545497,29,517.725056
-5.501558,23,518.333458
-7.796152,29,519.05663
-32.277252,100,521.468131
-28.519606,100,523.920696
-25.818726,100,526.423519
-29.780395,100,528.980664
-35.135991,100,531.390165
-22.394467,100,534.053874
-35.140934,100,536.689346
-33.462619,100,539.213981
-35.135991,100,541.606689
-35.135991,100,544.00496
-35.135991,100,546.804142
-35.135991,100,549.235514
-31.330769,100,551.85733
-33.626479,100,554.51282
-35.135991,100,557.033987
-31.6908,100,559.58287
-32.107667,100,562.065737
-34.753705,100,564.680469
-34.04508,100,567.182211
-35.124675,100,569.666349
-35.135991,100,572.255684
-35.135991,100,574.790441
-32.488557,100,577.427365
-35.135991,100,579.840642
-28.55834,100,582.397997
-31.919966,100,584.764513
-35.135991,100,587.450316
-35.135991,100,589.951804
-26.244304,100,592.572829
-35.135991,100,594.968895
-35.135991,100,597.543526
-35.135991,100,600.093313
-35.135991,100,602.497486
-35.135991,100,605.24817
-35.135991,100,607.752079
-35.135991,100,610.326678
-35.135991,100,612.800703
-35.135991,100,615.216229
-35.135991,100,617.809327
-35.135991,100,620.437871
-35.135991,100,623.097224
-35.135991,100,625.572713
-35.135991,100,628.243567
-35.135991,100,631.044178
-35.135991,100,633.887149
-35.135991,100,636.449621
-35.135991,100,639.238141
-35.135991,100,641.954779
-35.135991,100,644.841213
-35.135991,100,647.377727
-35.135991,100,650.22833
-35.135991,100,653.144375
-35.135991,100,655.850478
-35.135991,100,658.618712
-35.135991,100,661.211087
-35.135991,100,663.9836
-35.135991,100,666.722451
-35.135991,100,669.1865
-35.135991,100,671.710326
-35.135991,100,674.438989
-35.135991,100,677.169256
-35.135991,100,679.992343
-35.135991,100,682.581325
-35.135991,100,685.235122
-35.135991,100,687.872592
-35.135991,100,690.514542
-35.135991,100,693.098926
-35.135991,100,695.709698
-35.135991,100,698.433986
-33.805581,100,700.95907
-35.135991,100,703.7871
-35.135991,100,706.258964
-35.135991,100,708.845753
-35.135991,100,711.461003
-35.135991,100,714.3247
-35.135991,100,716.890451
-35.135991,100,719.540666
-35.135991,100,722.093729
-35.135991,100,724.503988
-35.135991,100,727.026263
-35.135991,100,729.769315
-35.135991,100,732.545435
-35.135991,100,735.276893
-35.135991,100,737.954484
-35.135991,100,740.387033
-35.135991,100,742.807455
-35.135991,100,745.497956
-35.135991,100,747.943433
-35.135991,100,750.653431
-35.135991,100,753.327858
-35.135991,100,756.038774
-35.135991,100,758.83254
-35.135991,100,761.640252
-35.135991,100,764.273965
-35.135991,100,766.841575
-35.135991,100,769.691015
-35.135991,100,772.408781
-35.135991,100,775.187131
-35.135991,100,777.834385
-35.135991,100,780.44722
-35.135991,100,783.291886
-35.135991,100,786.00143
-35.135991,100,788.761808
-35.135991,100,791.336047
-35.135991,100,794.124083
-35.135991,100,796.820916
-35.135991,100,799.400118
-35.135991,100,801.744976
-35.135991,100,804.634047
-35.135991,100,807.043699
-35.135991,100,809.727115
-35.135991,100,812.478616
