#{"t_start": 1543714744.7527468, "env_id": "BaxterReachEnv-v1"}
r,l,t
-35.135991,100,3.310193
-35.135991,100,5.335909
-35.135991,100,7.389306
-35.135991,100,9.549255
-35.135991,100,11.551016
-35.135991,100,13.708558
-35.135991,100,15.719326
-35.135991,100,17.749036
-35.135991,100,19.647465
-34.916203,100,21.85248
-35.135991,100,23.861603
-31.882017,100,25.860343
-35.135991,100,27.717724
-35.135991,100,29.662332
-35.135991,100,31.561602
-35.135991,100,33.535105
-35.135991,100,35.648911
-29.615292,100,37.699745
-32.906741,100,39.561371
-35.135991,100,41.686065
-35.135991,100,43.579548
-35.135991,100,45.438444
-35.135991,100,47.275358
-35.135991,100,49.248522
-35.135991,100,51.387013
-35.135991,100,53.343329
-35.135991,100,55.336195
-35.135991,100,57.263045
-35.122226,100,59.416587
-32.481157,100,61.524022
-35.135991,100,63.387805
-35.135991,100,65.309763
-35.135991,100,67.140489
-35.135991,100,69.129667
-32.135776,100,71.334312
-31.204173,100,73.485116
-32.352656,100,75.644744
-35.135991,100,77.580019
-35.135991,100,79.737921
-35.099575,100,81.987048
-35.135991,100,83.961085
-35.135991,100,86.032816
-33.699961,100,88.139612
-35.135991,100,90.169589
-30.769074,100,92.243812
-35.135991,100,94.227829
-35.135991,100,96.175048
-35.135991,100,98.088973
-34.724791,100,100.157503
-33.424113,100,102.296058
-35.135991,100,104.166235
-35.135991,100,106.430516
-35.135991,100,108.428129
-35.135991,100,110.506137
-34.524554,100,112.905003
-35.135991,100,114.978433
-35.135991,100,116.911563
-35.135991,100,118.890844
-35.135991,100,120.872493
-35.135991,100,123.066736
-35.955581,100,125.277755
-35.135991,100,127.3172
-35.174375,100,129.577277
-35.135991,100,131.861848
-35.135991,100,134.067164
-33.597822,100,136.255306
-30.344865,100,138.770581
-35.135991,100,141.100788
-35.135991,100,143.399288
-35.166096,100,145.854488
-35.135991,100,148.00227
-34.544857,100,150.25473
-35.135991,100,152.191593
-35.135991,100,154.183129
-34.398362,100,156.424747
-35.171855,100,159.0199
-28.271309,100,161.342989
-35.135991,100,163.349626
-27.687259,100,165.581697
-35.135991,100,167.437693
-35.135991,100,169.447987
-31.676499,100,171.704682
-35.135991,100,173.686828
-35.135991,100,175.473946
-35.135991,100,177.506254
-35.135991,100,179.269865
-30.74979,100,181.520805
-35.135991,100,183.561313
-35.135991,100,185.666757
-35.135991,100,187.585083
-34.40285,100,189.709892
-35.135991,100,191.858897
-35.135991,100,194.129462
-35.135991,100,196.257053
-35.061918,100,198.441502
-35.135991,100,200.485651
-29.593959,100,202.692192
-35.135991,100,205.026716
-35.135991,100,207.0649
-35.135991,100,209.213513
-35.135991,100,211.066233
-35.135991,100,213.04081
-35.135991,100,215.010002
-35.135991,100,217.168719
-35.135991,100,219.185254
-35.135991,100,221.158103
-35.135991,100,223.207007
-35.135991,100,225.182057
-35.135991,100,227.146314
-35.135991,100,229.017768
-35.135991,100,230.820845
-35.135991,100,232.7701
-35.135991,100,234.8285
-35.135991,100,236.792787
-35.135991,100,238.703969
-35.135991,100,240.641815
-35.135991,100,242.492834
-35.135991,100,244.422391
-35.135991,100,246.089266
-35.135991,100,248.080522
-35.135991,100,249.971227
-35.135991,100,251.951687
-35.135991,100,253.937935
-35.135991,100,256.006572
-35.135991,100,257.918177
-35.135991,100,259.830263
-35.135991,100,261.76064
-35.135991,100,263.76722
-35.135991,100,265.783314
-35.135991,100,267.593349
-35.135991,100,269.478692
-35.135991,100,271.408414
-35.135991,100,273.413854
-35.135991,100,275.537099
-35.135991,100,277.594906
-30.67836,100,279.712675
-35.135991,100,281.677219
-35.135991,100,283.812875
-35.135991,100,285.743832
-35.135991,100,287.807534
-35.135991,100,289.796357
-35.135991,100,291.729857
-35.135991,100,293.57935
-35.135991,100,295.589839
-35.135991,100,297.43035
-35.135991,100,299.291418
