#{"env_id": "BaxterReachEnv-v1", "t_start": 1543701704.6520798}
r,l,t
-35.135991,100,3.011714
-35.135991,100,4.955972
-35.135991,100,6.71414
-35.135991,100,8.813975
-34.919149,100,10.937107
-35.135991,100,12.785214
-35.135991,100,14.775302
-35.135991,100,16.513324
-34.113695,100,18.478873
-35.135991,100,20.382893
-35.135991,100,22.25012
-35.135991,100,24.046194
-35.135991,100,25.824076
-35.135991,100,27.897805
-34.936999,100,30.262975
-35.135991,100,32.650757
-33.831489,100,35.427346
-35.135991,100,37.711018
-35.135991,100,40.085722
-35.135991,100,42.350349
-35.135991,100,44.437411
-35.135991,100,46.467909
-35.135991,100,48.528443
-35.135991,100,50.614511
-35.135991,100,52.79449
-35.135991,100,54.83963
-35.135991,100,56.745526
-35.135991,100,58.961343
-35.135991,100,61.247477
-35.135991,100,63.323458
-33.878356,100,65.842593
-35.135991,100,67.949409
-35.135991,100,70.183108
-35.135991,100,72.267752
-35.135991,100,74.390512
-36.100383,100,76.623165
-35.135991,100,78.576053
-32.889547,100,80.642207
-35.135991,100,82.814999
-35.135991,100,84.795583
-34.86346,100,86.833425
-36.598691,100,88.74247
-35.135991,100,90.702922
-35.135991,100,92.598376
-35.135991,100,94.535212
-35.135991,100,96.622916
-35.135991,100,98.611253
-35.135991,100,100.684178
-35.135991,100,103.015019
-35.135991,100,105.060107
-35.135991,100,107.111229
-35.135991,100,109.29914
-22.131629,84,111.36442
-35.135991,100,113.49534
-32.402825,100,115.907553
-35.135991,100,117.949383
-35.135991,100,120.109451
-35.135991,100,122.347397
-27.780317,100,124.794624
-35.135991,100,126.838623
-35.254939,100,129.059994
-35.124397,100,131.130987
-35.135991,100,133.472566
-35.135991,100,135.654266
-35.247426,100,137.980612
-30.160026,100,140.141152
-33.0196,100,142.525678
-35.135991,100,144.738711
-35.135991,100,147.03999
-35.135991,100,149.06831
-31.767019,100,151.337361
-40.427791,100,153.831988
-35.135991,100,155.802499
-35.135991,100,157.855006
-35.135991,100,160.387735
-35.135991,100,162.613841
-35.135991,100,164.814387
-35.135991,100,167.158752
-35.135991,100,169.296633
-35.135991,100,171.578653
-35.135991,100,173.847429
-25.669623,100,176.236047
-35.135991,100,178.440516
-35.135991,100,181.067003
-35.135991,100,183.720665
-35.135991,100,186.090115
-34.367651,100,188.497806
-35.135991,100,190.824238
-35.135991,100,193.005176
-33.558395,100,195.855959
-35.135991,100,198.374283
-35.135991,100,201.018095
-19.686039,79,203.277425
-35.135991,100,205.640791
-35.135991,100,207.966798
-35.135991,100,210.509644
-35.135991,100,212.849166
-31.912669,100,215.201764
-35.135991,100,217.412365
-35.135991,100,219.816825
-35.135991,100,221.881846
-35.135991,100,224.289902
-35.135991,100,226.692221
-35.135991,100,229.018577
-26.304766,96,231.689077
-35.135991,100,233.784416
-35.135991,100,236.155947
-35.135991,100,238.571135
-33.566981,100,240.897611
-35.100027,100,243.288015
-35.135991,100,245.759865
-33.847327,100,248.346056
-32.652413,100,250.827704
-35.135991,100,253.092513
-35.135991,100,255.604525
-35.135991,100,257.858894
-35.135991,100,259.936895
-30.144114,100,262.23568
-35.135991,100,264.528265
-35.135991,100,266.821937
-35.135991,100,269.493825
-35.135991,100,271.650755
-34.346869,100,274.158919
-35.135991,100,276.941721
-35.135991,100,279.364547
-35.331154,100,281.972474
-35.135991,100,284.423062
-37.170252,100,286.982734
-35.135991,100,288.949051
-35.135991,100,291.136507
-30.146088,100,293.505823
-35.135991,100,295.833301
-35.135991,100,298.140127
-35.135991,100,300.233651
-35.135991,100,302.40133
-35.135991,100,304.375965
-35.135991,100,306.491611
-35.135991,100,308.820551
-35.135991,100,311.262544
-35.135991,100,313.682628
-35.135991,100,315.96396
-35.135991,100,318.306465
-35.135991,100,320.470613
-35.135991,100,322.819917
-35.135991,100,324.721326
-35.135991,100,326.863368
-35.135991,100,328.938781
-33.003213,100,330.958718
-35.135991,100,333.219872
-35.135991,100,335.472031
-35.135991,100,337.692554
-35.135991,100,340.038333
-35.135991,100,342.128639
-35.135991,100,344.131605
-35.135991,100,346.240971
-35.135991,100,348.533328
-35.135991,100,350.589188
-35.135991,100,352.722249
-35.135991,100,354.635259
-35.135991,100,356.988297
-35.135991,100,359.164004
-35.135991,100,361.27508
-35.135991,100,363.56644
-35.135991,100,365.757879
-35.135991,100,368.20615
-35.135991,100,370.232588
-35.135991,100,371.983703
-35.135991,100,374.172041
-35.135991,100,376.361077
-35.135991,100,378.541012
-35.135991,100,380.609546
-35.135991,100,382.585943
-35.135991,100,384.639472
-35.135991,100,386.48076
-35.135991,100,388.6396
-35.135991,100,390.388471
-35.135991,100,392.438022
-35.135991,100,394.560547
-35.135991,100,396.868649
-35.135991,100,398.769467
-35.135991,100,400.669564
-35.135991,100,402.941751
-35.135991,100,404.764775
-35.135991,100,406.959996
-35.135991,100,409.317438
-35.135991,100,411.684641
-35.135991,100,413.923387
-35.135991,100,416.123438
-35.135991,100,418.306723
-35.135991,100,420.296926
-35.135991,100,422.241526
-35.135991,100,423.984304
-35.135991,100,426.08203
-35.135991,100,428.384505
-35.135991,100,430.408699
-35.135991,100,432.876155
-35.135991,100,434.908221
-35.135991,100,437.353737
-35.135991,100,439.574898
-35.135991,100,441.749833
-35.135991,100,443.973198
-35.135991,100,446.118232
-35.135991,100,448.005886
-35.135991,100,449.80545
-35.135991,100,451.536457
-35.135991,100,453.134492
-35.135991,100,454.98744
-35.135991,100,457.239511
-35.135991,100,459.274478
-35.135991,100,461.249195
-35.135991,100,463.371255
-35.135991,100,465.602437
-35.135991,100,467.676979
-35.135991,100,469.884795
-35.135991,100,471.971644
-35.135991,100,474.439753
-35.135991,100,476.572614
-35.135991,100,478.736111
-35.135991,100,481.058031
-35.135991,100,483.135972
-35.135991,100,485.279417
-35.135991,100,487.520761
-35.135991,100,489.548227
-35.135991,100,491.884647
-35.135991,100,494.126863
-35.135991,100,496.543601
-35.135991,100,498.574391
-35.135991,100,500.934868
-35.135991,100,503.017943
-35.135991,100,505.522755
-35.135991,100,507.530801
-35.135991,100,509.744303
-35.135991,100,512.033607
-35.135991,100,514.245879
-35.135991,100,516.436634
-35.135991,100,518.508409
-35.135991,100,520.72718
-35.135991,100,522.79732
-35.135991,100,525.171824
-35.135991,100,527.325011
-35.135991,100,529.817682
-35.135991,100,532.224217
-35.135991,100,534.313729
-35.135991,100,536.600014
-35.135991,100,538.865461
-35.135991,100,541.078634
-35.135991,100,543.523873
-35.135991,100,545.920164
-35.135991,100,548.534539
-35.135991,100,550.833695
-35.135991,100,553.458315
-35.135991,100,555.577928
-35.135991,100,558.046057
-35.135991,100,560.214186
-35.135991,100,562.191873
-35.135991,100,564.417681
-35.135991,100,566.626742
-35.135991,100,568.882395
-35.135991,100,571.17386
-35.135991,100,573.547098
-35.135991,100,575.99794
-35.135991,100,578.359811
-35.135991,100,580.655375
-35.135991,100,582.41853
-35.135991,100,584.441893
-35.135991,100,586.456154
-35.135991,100,588.438867
-35.135991,100,590.548267
-35.135991,100,592.89933
-35.135991,100,595.025524
-35.135991,100,597.416162
-35.135991,100,599.607764
-35.135991,100,601.674446
-35.135991,100,603.89638
-35.135991,100,606.002581
-35.135991,100,607.942969
-35.135991,100,610.319248
-35.135991,100,612.454077
-35.135991,100,614.671001
-35.135991,100,616.666605
-35.135991,100,618.972529
-35.135991,100,621.289865
-35.135991,100,623.549718
-35.135991,100,625.454215
-35.135991,100,627.918891
-35.135991,100,630.1237
-35.135991,100,632.196984
-35.135991,100,634.870497
-35.135991,100,636.785548
-35.135991,100,639.282603
-35.135991,100,641.483391
-35.135991,100,643.380703
-35.135991,100,645.34455
-35.135991,100,647.35221
-35.135991,100,649.845017
-35.135991,100,652.116697
-35.135991,100,654.256711
-35.135991,100,656.303777
-35.135991,100,658.070221
-35.135991,100,660.094863
-35.135991,100,662.099889
-35.135991,100,664.205414
-35.135991,100,666.209358
-35.135991,100,668.350013
-35.135991,100,670.251865
-35.135991,100,672.613395
-35.135991,100,675.109385
-35.135991,100,677.45382
-35.135991,100,679.677521
-35.135991,100,681.775052
-35.135991,100,683.746369
-35.135991,100,685.620792
-35.135991,100,688.050303
-35.135991,100,690.055265
