#{"t_start": 1543855853.3706942, "env_id": "BaxterReachEnv-v8"}
r,l,t
-35.135991,100,5.608946
-35.135991,100,7.797973
-35.135991,100,10.194756
-34.582935,100,12.545986
-35.135991,100,14.860366
-22.794852,100,17.160994
-35.135991,100,19.249154
-35.135991,100,21.214342
-35.135991,100,23.499995
-35.135991,100,25.657012
-35.135991,100,27.841436
-35.135991,100,29.930089
-35.135991,100,32.571484
-35.135991,100,35.207449
-35.135991,100,37.450572
-25.364524,100,40.193347
-35.135991,100,42.350947
-35.135991,100,44.98947
-35.135991,100,47.104727
-35.135991,100,49.3121
-35.135991,100,51.274068
-35.135991,100,53.382698
-35.135991,100,55.598774
-21.739672,100,57.612293
-35.697316,100,59.718485
-35.135991,100,61.853671
-35.135991,100,63.941126
-35.135991,100,65.977681
-35.135991,100,67.839582
-35.135991,100,70.038395
-35.135991,100,71.816828
-35.135991,100,73.601202
-35.135991,100,75.034765
-35.135991,100,76.739591
-34.445035,100,78.349703
-35.135991,100,79.786907
-35.135991,100,81.338455
-35.135991,100,83.468376
-35.135991,100,85.684649
-35.135991,100,87.898728
-35.135991,100,89.682931
-35.135991,100,91.129302
-35.135991,100,92.653696
-35.135991,100,94.397892
-35.135991,100,95.823759
-35.135991,100,97.773105
-35.135991,100,99.304812
-35.135991,100,100.740584
-34.704799,100,102.651399
-35.135991,100,104.691187
-35.135991,100,106.859923
-35.135991,100,109.059848
-35.135991,100,110.697177
-35.135991,100,112.255499
-35.135991,100,113.683401
-35.131566,100,115.62561
-35.135991,100,117.204795
-35.135991,100,118.770017
-58.411692,100,120.385952
-35.135991,100,122.1031
-35.135991,100,123.793459
-35.135991,100,125.622267
-35.949079,100,127.351005
-35.135991,100,128.778516
-35.135991,100,130.848464
-35.135991,100,132.771794
-31.617507,100,134.655239
-35.135991,100,136.691149
-34.509967,100,139.024988
-35.135991,100,140.998317
-35.135991,100,142.935299
-35.135991,100,144.548315
-35.135991,100,146.36713
-35.135991,100,147.985806
-35.135991,100,149.754076
