#{"env_id": "BaxterReachEnv-v1", "t_start": 1543858148.9027953}
r,l,t
-35.135991,100,3.130842
-35.135991,100,4.968178
-35.135991,100,6.954558
-35.135991,100,8.970271
-35.135991,100,10.91132
-35.135991,100,12.724176
-35.135991,100,14.535524
-35.135991,100,16.439911
-35.135991,100,18.424837
-35.135991,100,20.759243
-35.135991,100,22.757442
-35.135991,100,25.055759
-35.014653,100,27.074732
-35.135991,100,29.024233
-35.135991,100,30.985765
-35.135991,100,33.094496
-35.135991,100,35.057427
-35.135991,100,37.056051
-35.135991,100,39.129411
-35.135991,100,41.088671
-35.135991,100,42.864914
-35.135991,100,44.961941
-35.135991,100,46.941917
-35.135991,100,49.077229
-35.135991,100,51.176505
-35.135991,100,53.032197
-35.135991,100,55.234023
-35.135991,100,57.302855
-35.135991,100,59.326808
-35.135991,100,61.469256
-35.135991,100,63.5116
-35.135991,100,65.27418
-35.135991,100,67.221569
-35.135991,100,69.443899
-35.135991,100,71.400117
-32.750543,100,73.203344
-35.135991,100,75.269472
-35.135991,100,77.321339
-35.135991,100,79.480811
-35.135991,100,81.464494
-35.135991,100,83.296383
-35.135991,100,85.521587
-35.135991,100,87.58895
-35.135991,100,89.36532
-35.135991,100,91.169778
-35.135991,100,93.261122
-35.135991,100,95.287847
-35.135991,100,97.332846
-34.947258,100,99.273365
-35.135991,100,101.288455
-35.135991,100,103.779401
-34.202691,100,105.950074
-36.627781,100,108.040192
-35.135991,100,110.18914
-35.135991,100,112.046021
-35.135991,100,114.185916
-35.135991,100,116.161315
-35.135991,100,118.380188
-35.135991,100,120.689377
-35.135991,100,122.782167
-34.753929,100,125.237834
-33.670692,100,127.126442
-35.135991,100,129.051096
-35.135991,100,131.088006
-35.135991,100,133.319982
-26.515828,100,135.59883
-35.135991,100,137.727656
-35.135991,100,139.829394
-35.135991,100,141.897437
-35.135991,100,143.827179
-35.135991,100,145.922323
-35.135991,100,147.742919
-35.135991,100,149.97734
-35.135991,100,152.295119
-35.135991,100,154.375435
-35.135991,100,156.478178
-35.135991,100,158.624005
-35.135991,100,160.547641
-33.418266,100,162.868479
-35.135991,100,164.756569
-35.135991,100,167.056826
-35.135991,100,169.012423
-35.135991,100,171.263308
-35.135991,100,173.643565
-35.135991,100,175.738011
-35.135991,100,178.06124
-23.399682,86,179.980018
-35.135991,100,181.839972
-35.135991,100,184.414339
-35.121355,100,186.510681
-34.310462,100,188.878644
-35.135991,100,191.103197
-35.135991,100,193.226655
-29.322203,96,195.225701
-22.623551,100,197.676556
-37.778142,100,199.686293
-26.807768,100,201.895312
-35.135991,100,204.339252
-35.334282,100,206.66835
-21.261334,69,207.998024
-34.869276,100,210.636134
-23.746978,100,213.116823
-22.188654,100,215.528687
-35.135991,100,217.85105
-25.62323,100,220.407014
-28.03984,100,222.949904
-15.212363,48,224.042325
-20.375418,100,226.61967
-8.163878,31,227.371925
-35.135991,100,229.796041
-26.702744,100,232.301357
-35.135991,100,234.952845
-24.584437,100,237.544114
-33.656537,100,240.052898
-33.493765,100,242.568214
-35.135991,100,245.250103
-35.135991,100,247.893206
-35.135991,100,250.416667
-35.135991,100,253.228973
-35.135991,100,255.623836
-35.135991,100,258.426942
-35.135991,100,261.079988
-35.135991,100,263.735778
-35.135991,100,266.507408
-35.135991,100,269.274227
-35.135991,100,271.837015
-35.135991,100,274.436596
-35.135991,100,276.99805
-35.135991,100,279.560845
-35.135991,100,282.348445
-35.135991,100,285.02671
-35.135991,100,287.763017
-35.135991,100,290.54196
-35.135991,100,293.215061
-35.135991,100,296.215489
-35.135991,100,298.905755
-35.135991,100,301.410167
-35.135991,100,304.085264
-35.135991,100,306.714092
-35.135991,100,309.421201
-35.135991,100,311.850821
-35.135991,100,314.445429
-35.135991,100,316.917436
-35.135991,100,319.647446
-35.135991,100,322.247291
-35.135991,100,324.950117
-35.135991,100,327.548918
-35.135991,100,330.25031
-35.135991,100,332.560965
-35.135991,100,335.170733
-35.135991,100,337.594038
-35.135991,100,340.24226
-35.135991,100,342.869322
-35.135991,100,345.645379
-35.135991,100,348.219998
-35.135991,100,351.037097
-35.135991,100,353.770322
-35.135991,100,356.409383
-35.135991,100,359.045192
-35.135991,100,361.851173
-35.135991,100,364.468671
-35.135991,100,367.111557
-35.135991,100,369.96712
-35.135991,100,372.636958
