#{"t_start": 1543915000.5207007, "env_id": "BaxterReachEnv-v16"}
r,l,t
-104.064305,100,3.222901
-132.730232,100,5.667396
-128.882748,100,7.944946
-113.69537,100,10.280511
-123.535449,100,12.177845
-181.545447,100,14.467813
-91.755607,100,16.689569
-119.068209,100,18.80649
-94.948702,100,21.216783
-86.092224,100,23.305904
-105.015362,100,25.541795
-99.852949,100,28.045639
-128.257947,100,30.374851
-76.854012,100,32.675696
-93.758988,100,34.805968
-160.995692,100,37.005564
-105.947773,100,39.259139
-90.988479,100,41.398675
-97.856301,100,43.424598
-95.227188,100,45.348151
-138.124124,100,47.689429
-84.2563,100,49.851371
-115.904319,100,51.929072
-100.429242,100,54.118022
-103.374964,100,56.311083
-93.692084,100,58.541984
-112.146626,100,60.762653
-113.25657,100,62.978406
-100.593454,100,65.226674
-98.876562,100,67.66068
-104.905185,100,69.752775
-123.058097,100,71.790888
-103.411557,100,74.128767
-148.966599,100,76.548689
-78.962708,100,78.765718
-89.754819,100,81.044578
-77.746182,100,83.264312
-140.787259,100,85.613362
-86.733732,100,87.893551
-97.896042,100,90.340543
-101.704249,100,92.6889
-87.822589,100,94.945655
-92.086233,100,97.331184
-98.548883,100,99.596675
-88.605351,100,102.185653
-92.581931,100,104.402186
-119.224822,100,106.52312
-93.835065,100,108.824345
-97.370369,100,111.264867
-85.792649,100,113.262166
-96.121028,100,115.585611
-91.703819,100,117.718392
-110.349077,100,119.949328
-108.379391,100,122.57514
-154.240423,100,124.960556
-75.46921,100,127.443014
-80.752723,100,129.799085
-87.847942,100,132.056736
-74.607832,100,134.627877
-78.707374,100,136.69716
-94.582519,100,138.977109
-79.586086,100,141.416967
-214.327653,100,143.641105
-100.911608,100,145.700666
-103.227495,100,147.886972
-83.826704,100,149.994426
-100.455527,100,152.173612
-113.394369,100,154.653655
-87.894651,100,157.144701
-91.9934,100,159.656683
-130.495593,100,161.903687
-96.297462,100,164.143578
-96.552758,100,166.131158
-98.502012,100,168.609113
-90.831652,100,170.638819
-101.502545,100,172.845049
-102.950095,100,174.848291
-94.287289,100,177.204518
-115.117959,100,179.484815
-87.359586,100,181.744398
-108.763793,100,183.764859
-90.704538,100,186.169344
-155.431354,100,188.485344
-94.386606,100,190.704126
-100.740613,100,192.904337
-98.011654,100,195.064058
-91.441966,100,197.373849
-106.0521,100,199.594874
-107.760682,100,201.702058
-104.484879,100,204.069947
-103.808409,100,206.208564
-79.619486,100,208.457748
-115.089172,100,210.535743
-80.294435,100,212.793696
