#{"env_id": "BaxterReachEnv-v11", "t_start": 1543951247.996577}
r,l,t
-64.721549,100,2.421071
-64.721549,100,3.851817
-64.721549,100,5.451275
-64.721549,100,6.929059
-64.721549,100,8.351046
-64.721549,100,9.727259
-64.721549,100,11.100441
-64.721549,100,12.583364
-64.721549,100,14.00586
-64.721549,100,15.428684
-64.721549,100,16.828321
-64.721549,100,18.206654
-64.721549,100,19.587779
-64.721549,100,20.983263
-64.721549,100,22.376873
-64.721549,100,23.769359
-64.721549,100,25.169002
-64.721549,100,26.569767
-64.721549,100,27.961247
-64.721549,100,29.326049
-64.721549,100,30.701714
-64.721549,100,32.10304
-64.721549,100,33.543067
-64.721549,100,34.938957
-64.721549,100,36.32139
-64.721549,100,37.697613
-64.721549,100,39.080729
-64.721549,100,40.450501
-64.721549,100,41.816524
-64.721549,100,43.185146
-64.721549,100,44.582341
-64.721549,100,45.976421
-64.721549,100,47.411102
-64.721549,100,48.850445
-64.721549,100,50.247504
-64.721549,100,51.634996
-64.721549,100,52.978954
-64.721549,100,54.323993
-64.721549,100,55.669478
-64.721549,100,57.018902
-64.721549,100,58.382978
-64.721549,100,59.748234
-64.721549,100,61.118952
-64.721549,100,62.478619
-64.721549,100,63.841033
-64.721549,100,65.208663
-64.721549,100,66.569839
-64.721549,100,67.935134
-64.721549,100,69.304618
-64.721549,100,70.670027
-64.721549,100,72.068359
-75.611319,100,73.80586
-90.715639,100,75.494483
-89.346611,100,77.323053
-99.723458,100,78.902255
-124.743833,100,80.554935
-130.415235,100,82.31578
-130.962651,100,84.075222
-131.173357,100,85.754582
-132.35556,100,87.432364
-135.628488,100,89.15951
-139.372061,100,90.917536
-144.402054,100,92.619157
-149.350474,100,94.328355
-148.549516,100,95.955397
-149.114549,100,97.518793
-151.505128,100,99.176134
-155.847381,100,100.752361
-159.86201,100,102.385402
-165.006107,100,104.10193
-166.432599,100,105.808172
-166.948098,100,107.490562
-123.990609,100,109.370894
-138.951912,100,111.111324
-161.838194,100,112.661168
-165.088855,100,114.183503
