#{"env_id": "BaxterReachEnv-v11", "t_start": 1543914395.0564322}
r,l,t
-65.235736,100,2.36389
-65.235736,100,4.086573
-65.235736,100,5.518852
-65.235736,100,7.136499
-65.235736,100,8.751254
-65.235736,100,10.236888
-65.235736,100,11.678066
-65.235736,100,13.238825
-65.235736,100,14.831857
-65.235736,100,16.485201
-65.235736,100,17.924551
-65.235736,100,19.3731
-65.235736,100,20.829669
-65.235736,100,22.281946
-65.235736,100,23.731605
-65.235736,100,25.155358
-65.235736,100,26.602658
-65.235736,100,28.11157
-65.235736,100,29.651681
-65.235736,100,31.085989
-65.235736,100,32.575351
-65.235736,100,34.067376
-65.235736,100,35.489855
-65.235736,100,36.935355
-65.235736,100,38.373228
-65.235736,100,39.825799
-65.235736,100,41.261521
-65.235736,100,42.711016
-65.235736,100,44.207238
-65.235736,100,45.641618
-65.235736,100,47.114037
-65.235736,100,48.545388
-65.235736,100,49.970696
-65.235736,100,51.402327
-65.235736,100,52.815105
-65.235736,100,54.247411
-65.235736,100,55.670213
-65.235736,100,57.273793
-65.235736,100,58.730421
-65.235736,100,60.186599
-65.235736,100,61.666053
-65.235736,100,63.090237
-65.235736,100,64.540299
-65.235736,100,66.06689
-65.235736,100,67.507257
-65.235736,100,68.99858
-65.235736,100,70.446035
-65.235736,100,71.873685
-65.235736,100,73.30382
-65.235736,100,74.751754
-65.235736,100,76.21643
-80.268311,100,78.098274
-95.819381,100,79.861053
-60.044843,100,81.718202
-50.091875,100,83.698882
-50.906063,100,85.599883
-51.225268,100,87.420631
-53.363133,100,89.314828
-57.523362,100,91.14052
-63.97254,100,92.916452
-76.831229,100,94.782962
-88.428096,100,96.493262
-92.294782,100,98.300127
-96.931599,100,100.129136
-101.970224,100,101.843021
-106.051374,100,103.557918
-108.13977,100,105.310963
-107.409974,100,107.084273
-104.975647,100,109.034658
-101.744257,100,110.896666
-84.356927,100,112.79945
-76.97942,100,115.114661
-43.485373,100,117.12682
-49.903342,100,119.041711
-47.639392,100,121.081348
-41.219213,100,122.965136
-76.743816,100,124.774491
-25.815244,100,126.812834
-50.681627,100,128.801247
-100.579407,100,130.622573
-132.865037,100,132.268885
-134.614244,100,133.828799
-136.622402,100,135.42306
-138.415804,100,137.000349
-140.178071,100,138.603232
-141.220876,100,140.277222
-141.709302,100,141.774547
-141.905316,100,143.478573
-141.871877,100,145.118471
-141.556753,100,146.726285
-140.608445,100,148.464161
-138.651239,100,150.06613
-138.629208,100,151.672574
-140.343745,100,153.285155
-140.661215,100,154.929705
-140.712321,100,156.491284
-140.675714,100,158.155783
-140.572886,100,159.705052
-140.403572,100,161.40181
-140.31029,100,163.058405
-140.143432,100,164.60618
-139.911462,100,166.129392
-139.633259,100,167.670568
-139.498803,100,169.318717
-139.32759,100,170.937258
-139.808254,100,172.604194
-140.47311,100,174.199136
-140.168321,100,175.895608
-137.314104,100,177.66039
-135.189846,100,179.493763
-132.532876,100,181.226359
-118.041173,100,182.978847
-114.855716,100,184.684502
-105.776797,100,186.229047
-89.764773,100,187.904406
-81.037933,100,189.614562
-89.106224,100,191.342018
-92.231358,100,192.998425
-93.119579,100,194.782684
-92.865993,100,196.540081
-90.199043,100,198.177306
-81.185766,100,199.799173
-79.560647,100,201.562214
-81.108798,100,203.253582
-81.323274,100,204.954779
-79.758137,100,206.568389
-83.309897,100,208.099895
-81.904291,100,209.812549
-78.651411,100,211.569115
-80.060749,100,213.471223
-53.92191,100,215.69569
-40.794479,100,218.127007
-41.19896,100,220.588422
-65.277927,100,222.70308
-64.191526,100,224.68055
-63.646436,100,226.606831
-61.186121,100,228.570296
-47.979807,100,230.895988
-55.725167,100,233.04888
-73.092079,100,234.949982
-51.425537,100,237.129228
-62.684892,100,239.014138
-51.472533,100,240.861069
-91.535175,100,242.388563
-80.854051,100,244.023039
-78.995969,100,245.628643
-79.491609,100,247.27703
-79.995198,100,248.898161
-80.267548,100,250.463061
-80.41666,100,252.072775
-80.505599,100,253.701501
-80.562669,100,255.307059
-80.601623,100,256.890931
-80.63684,100,258.484984
-80.672088,100,260.154571
-80.700412,100,261.726158
-80.724824,100,263.348967
-80.743777,100,265.077574
-80.75954,100,266.657782
-80.773993,100,268.389205
-80.785622,100,270.036634
-80.796884,100,271.763973
-80.804875,100,273.375939
-80.809881,100,275.069368
-80.81357,100,276.71557
-80.814766,100,278.304857
-80.811212,100,279.965601
-80.797555,100,281.644984
-80.772806,100,283.344133
-80.740867,100,284.932848
-80.683242,100,286.627828
-80.526073,100,288.286326
-79.654137,100,289.971929
-92.260342,100,291.683137
-83.658315,100,293.371357
-93.816638,100,295.241839
-113.541525,100,297.077912
-154.102378,100,298.790934
-123.644755,100,300.542499
-121.036519,100,302.232193
-130.750257,100,304.017561
-137.557074,100,305.812032
-143.473463,100,307.392048
-171.873763,100,308.981413
-156.366943,100,310.568857
-149.576133,100,312.150147
-149.259837,100,313.76268
-149.190549,100,315.394311
-149.166262,100,317.019803
-149.153905,100,318.655561
-149.146918,100,320.308861
-149.142523,100,321.947186
-149.139055,100,323.633029
-149.136582,100,325.294537
-149.134703,100,326.929289
-149.132528,100,328.668199
-149.129737,100,330.401432
-149.125646,100,332.215853
-149.119976,100,333.885553
-149.112272,100,335.53435
-149.101092,100,337.190187
-149.085143,100,338.878414
-149.059956,100,340.520639
-149.014518,100,342.216552
-148.916773,100,343.785591
-148.659349,100,345.339779
-147.508751,100,347.105547
-131.094106,100,348.792338
-152.890368,100,350.46256
-161.870036,100,352.151288
-161.979356,100,353.826057
-162.027142,100,355.454213
-162.045963,100,357.1591
-162.055012,100,358.754851
-162.06075,100,360.429399
-162.064442,100,362.037995
-162.066919,100,363.697716
-162.066926,100,365.413224
-162.064318,100,367.102752
-162.061334,100,368.883848
-162.057838,100,370.535561
-162.053262,100,372.266898
-162.04626,100,374.010183
-162.036682,100,375.729949
-162.020808,100,377.36268
-161.987246,100,378.969354
-161.897874,100,380.652638
-161.348552,100,382.347729
-132.163422,100,384.035526
-128.777421,100,385.837495
-129.385265,100,387.510812
-132.990008,100,389.183732
-145.149768,100,390.706513
-133.84854,100,392.430936
-143.427194,100,394.00965
-134.669333,100,395.607064
-146.311698,100,397.324448
-140.874328,100,398.989151
-131.40558,100,400.656278
-133.300327,100,402.278485
-152.19859,100,403.888835
-140.491819,100,405.466607
-131.903993,100,407.23386
-131.56174,100,408.893162
-134.783633,100,410.595986
-146.75778,100,412.295318
-146.202061,100,413.951369
-138.902899,100,415.513668
-136.756291,100,417.227183
-154.277342,100,418.915604
-151.972323,100,420.540225
-149.681103,100,422.051335
-141.01765,100,423.524931
-97.74796,100,425.292077
-96.275958,100,426.860087
-96.114563,100,428.566474
-95.995948,100,430.253323
-95.288162,100,431.920223
-57.278471,100,433.642876
-54.79429,100,435.498469
-54.576071,100,437.265676
-54.468005,100,439.003402
-54.426226,100,440.684526
-54.445602,100,442.356765
-54.5325,100,444.034303
-54.718638,100,445.700724
-55.086465,100,447.37297
-55.879693,100,449.029454
-58.077637,100,450.687183
-66.575585,100,452.28791
-71.560863,100,453.871922
-85.519108,100,455.38217
-68.725928,100,456.974445
-72.888869,100,458.558249
-71.914079,100,460.141953
-75.327119,100,461.755059
-74.390438,100,463.355076
-75.866752,100,464.96694
-55.45492,100,467.097106
-87.308584,100,469.070005
-88.388369,100,471.213854
-88.262271,100,473.29243
-87.985489,100,475.545004
-101.202984,100,477.623157
-100.204165,100,479.696029
-79.046331,100,481.658761
-59.422903,100,484.131895
-33.464624,100,486.236829
-34.601143,100,488.230826
-34.859451,100,490.235715
-35.072951,100,492.339586
-35.100096,100,494.372152
-35.14329,100,496.445818
-35.178202,100,498.521401
-35.174625,100,500.61299
-35.205008,100,502.691139
-35.202991,100,504.659659
-35.200678,100,506.713359
-35.207619,100,508.694122
-35.192824,100,510.715374
-35.221346,100,512.724786
-35.212196,100,514.802838
-35.228512,100,516.876693
-35.23915,100,518.95201
-35.279052,100,521.021911
-35.245043,100,523.105387
-35.250432,100,525.201175
-35.271326,100,527.320017
-35.328055,100,529.37741
-35.258873,100,531.374471
-35.291407,100,533.3635
-35.27759,100,535.311707
-35.275586,100,537.23909
-35.310438,100,539.230921
-51.235645,100,541.218102
-61.080436,100,543.173602
-58.659462,100,544.942464
-58.880571,100,546.785792
-61.761635,100,548.781832
-58.923893,100,550.625513
-58.433417,100,552.648154
-100.720936,100,554.585404
-101.781966,100,556.781008
-103.57847,100,559.185166
-104.048243,100,562.020206
-104.060392,100,564.841281
-104.072327,100,567.574536
-104.087216,100,570.408397
-165.490785,100,572.183203
-117.849687,100,574.302624
-147.175081,100,576.262103
-153.293389,100,577.884983
-153.45264,100,579.548814
-175.811137,100,581.092744
-175.749401,100,582.778796
-175.743813,100,584.41076
-175.74172,100,586.05582
-175.740258,100,587.547643
-175.739183,100,589.02245
-175.737001,100,590.682262
-175.73643,100,592.198982
-175.735215,100,593.977174
-175.734366,100,595.640584
-175.733629,100,597.431715
-175.732598,100,599.202645
-175.730963,100,600.814156
-175.72955,100,602.391723
-175.727037,100,604.103375
-175.723285,100,605.879765
-175.718088,100,607.404101
-175.710553,100,609.20242
-175.695858,100,610.885977
-175.65825,100,612.60923
-175.443473,100,614.102224
-146.052183,100,615.59969
-141.774367,100,617.166424
-134.782867,100,618.675461
-131.769816,100,620.315737
-131.837065,100,622.100626
-131.851648,100,623.726964
-131.873654,100,625.309295
-131.872062,100,626.931695
-131.870588,100,628.604253
-131.869314,100,630.227133
-131.867999,100,631.815367
-131.866459,100,633.401374
-131.864285,100,635.080124
-131.860895,100,636.580585
-131.854508,100,638.066253
-131.839264,100,639.648374
-131.788027,100,641.143132
-131.365047,100,642.628385
-126.843352,100,644.22982
-127.80085,100,645.963617
-127.833448,100,647.874409
-127.846456,100,649.585076
-127.853559,100,651.384828
-127.858355,100,653.201634
-127.861611,100,654.85747
-127.864062,100,656.610509
-127.865979,100,658.523137
-127.867503,100,660.400914
-127.868721,100,662.219253
-127.869841,100,663.953327
-127.870758,100,665.713716
-127.871522,100,667.565912
-127.872368,100,669.333646
-127.873027,100,671.021194
-127.873646,100,672.773864
-127.874462,100,674.592398
-127.87514,100,676.354678
-127.875904,100,678.157111
-127.876655,100,680.013558
-127.877342,100,681.977631
-127.878224,100,683.848468
-127.879265,100,685.591345
-127.880558,100,687.376676
-127.882338,100,689.224183
-127.884991,100,691.042126
-127.888901,100,692.910273
-127.896082,100,694.728951
-127.911722,100,696.567838
-127.962039,100,698.470611
-128.696181,100,700.26529
-161.129214,100,702.113272
-161.700288,100,703.968503
-161.773054,100,705.81981
-149.561496,100,707.716469
-117.917634,100,709.512378
-118.289434,100,711.283599
-118.518085,100,713.057224
-125.707722,100,715.208005
-81.360422,100,717.459865
-91.713983,100,719.728832
-98.686884,100,722.221226
-121.666615,100,724.416672
-120.080649,100,726.50286
-98.327372,100,728.849355
-99.642778,100,731.215785
-100.349633,100,733.676667
-94.796825,100,736.026385
-80.98735,100,738.21208
-79.271791,100,740.440977
-59.273181,100,743.079459
-34.895942,100,745.314783
-35.227932,100,747.824424
-35.287966,100,750.150583
-35.314025,100,752.406702
-35.31387,100,754.810936
-35.315758,100,757.068311
-35.320402,100,759.320708
-35.307856,100,761.540385
-35.305285,100,763.78182
-35.358603,100,766.122263
-35.33636,100,768.358094
-35.338004,100,770.689034
-35.306836,100,773.271714
-35.338655,100,775.60362
-35.328131,100,778.018979
-35.319339,100,780.368301
-35.329252,100,782.696338
-35.310014,100,785.085912
-35.329187,100,787.498098
-35.333271,100,789.739791
-35.317195,100,792.019105
-35.315153,100,794.402203
-35.306255,100,796.690113
-35.330581,100,798.985167
-35.305834,100,801.355182
-35.3212,100,803.765525
