#{"t_start": 1543858455.2233133, "env_id": "BaxterReachEnv-v1"}
r,l,t
-35.135991,100,3.387179
-35.135991,100,4.969195
-35.135991,100,6.538821
-35.135991,100,7.989157
-34.184252,100,9.458236
-32.055132,100,11.206369
-35.135991,100,12.770826
-35.135991,100,14.293339
-35.135991,100,15.832099
-35.135991,100,17.395129
-35.135991,100,18.93006
-35.135991,100,20.517923
-35.135991,100,22.029339
-35.135991,100,23.60062
-35.135991,100,25.217448
-35.135991,100,26.755073
-35.135991,100,28.211953
-35.135991,100,29.635757
-35.135991,100,31.249984
-35.135991,100,32.771023
-35.135991,100,34.501348
-35.135991,100,36.219388
-35.135991,100,37.830142
-35.135991,100,39.365933
-35.135991,100,41.04706
-35.135991,100,42.682676
-35.135991,100,44.198466
-35.135991,100,45.81411
-35.135991,100,47.434499
-35.13103,100,49.04486
-35.135991,100,50.67684
-35.135991,100,52.285225
-34.938627,100,53.890525
-35.135991,100,55.470918
-34.876653,100,57.050096
-35.135991,100,58.740898
-35.135991,100,60.337086
-35.135991,100,61.966457
-35.135991,100,63.587723
-35.135991,100,65.169846
-35.135991,100,66.845843
-35.135991,100,68.407085
-35.135991,100,70.064532
-35.135991,100,71.558563
-35.223596,100,73.266899
-35.135991,100,74.781677
-35.135991,100,76.354281
-35.135991,100,77.992811
-35.135991,100,79.569195
-35.135991,100,81.190203
-35.135991,100,82.814683
-35.135991,100,84.307744
-35.135991,100,85.848339
-34.231256,100,87.350519
-33.01486,100,89.020312
-35.135991,100,90.570482
-35.135991,100,92.06369
-35.135991,100,93.506269
-35.135991,100,95.130639
-35.135991,100,96.709708
-35.135991,100,98.853972
-35.135991,100,100.316986
-35.135991,100,101.811752
-35.135991,100,103.308627
-35.135991,100,104.820673
-35.135991,100,106.296496
-35.135991,100,107.792922
-35.135991,100,109.470578
-35.135991,100,110.976345
-31.047562,100,112.708598
-35.135991,100,114.585129
-34.62796,100,116.146737
-35.135991,100,117.59851
-28.182248,100,119.24594
-25.697177,100,120.858951
-35.135991,100,122.540431
-33.986107,100,124.08865
-35.135991,100,125.6593
-35.135991,100,127.123712
-35.13439,100,128.844163
-35.438825,100,130.609547
-34.091203,100,132.335276
-34.851493,100,133.950322
-35.135991,100,135.469406
-30.780179,100,137.105316
-35.135991,100,138.632618
-29.530078,100,140.343663
-33.572699,100,141.902071
-35.135991,100,143.327969
-35.135991,100,144.748436
-19.045113,100,146.462669
-35.135991,100,147.958431
-35.135991,100,149.569388
-34.253447,100,151.103407
-35.135991,100,152.73642
-30.223731,100,154.386083
-27.953664,100,156.039271
-35.135991,100,157.606267
-32.31222,100,159.299149
-35.135991,100,160.888234
-35.135991,100,162.395407
-28.308332,100,164.13147
-19.86959,100,165.740524
-35.135991,100,167.241725
-35.135991,100,168.88044
-34.775816,100,170.523378
-35.135991,100,172.063439
-30.183963,100,173.636488
-29.94587,100,175.279322
-32.320765,100,176.901719
-35.135991,100,178.449
-36.869082,100,180.231101
-32.645416,100,181.917038
-28.432549,100,183.531834
-35.135991,100,185.281018
-35.135991,100,186.82412
-35.135991,100,188.327717
-33.595516,100,189.945465
-30.447977,100,191.636389
-34.225684,100,193.378428
-35.135991,100,194.94214
-34.495181,100,196.794711
-33.465676,100,198.409599
-35.135991,100,200.095092
-34.140838,100,201.810489
-31.971808,100,203.386097
-29.945627,100,204.959281
-33.855567,100,206.561944
-35.135991,100,208.095906
-22.709098,100,209.766757
-35.135991,100,211.288885
-33.054677,100,212.928312
-35.135991,100,214.385126
-35.11834,100,215.981628
-31.349401,100,217.547099
-35.135991,100,219.164068
-36.482031,100,220.752226
-35.135991,100,222.279908
-35.135991,100,223.744745
-32.737096,100,225.377911
-29.420728,100,226.947611
-35.135991,100,228.387939
-33.066646,100,230.033703
-35.135991,100,231.630933
