#{"env_id": "BaxterReachEnv-v11", "t_start": 1543858487.886676}
r,l,t
-95.322811,100,3.27405
-109.563059,100,4.913563
-85.978726,100,6.688828
-114.871345,100,8.43459
-109.113891,100,10.268838
-89.400954,100,12.114152
-111.716743,100,13.85315
-81.254065,100,15.552279
-100.949942,100,17.317131
-96.966395,100,19.170369
-79.045857,100,20.969685
-86.816277,100,22.658849
-216.018594,100,24.338513
-102.710545,100,26.084913
-114.932103,100,27.780188
-103.035862,100,29.545621
-118.03449,100,31.255589
-90.111163,100,32.967133
-93.517557,100,34.650735
-101.760188,100,36.307678
-90.509061,100,38.046796
-85.27446,100,39.728108
-102.978951,100,41.524318
-82.185855,100,43.215524
-91.196245,100,44.953433
-102.755586,100,46.63663
-106.108236,100,48.452433
-108.886319,100,50.1588
-93.966694,100,51.812858
-86.927391,100,53.486649
-115.71555,100,55.103447
-87.698587,100,56.755305
-102.078595,100,58.450873
-85.901295,100,60.157614
-95.314614,100,61.977431
-91.625993,100,63.86653
-129.550908,100,65.650517
-97.831337,100,67.423846
-97.860773,100,69.098417
-125.801612,100,70.858278
-105.947906,100,72.654509
-112.926371,100,74.449704
-102.347821,100,76.179465
-88.905883,100,77.903601
-96.988495,100,79.620109
-116.69764,100,81.373046
-114.576954,100,83.094511
-108.127251,100,84.7829
-98.578529,100,86.485352
-111.914719,100,88.059536
-104.96396,100,89.758622
-105.560269,100,91.487526
-100.933577,100,93.25948
-107.892906,100,94.884149
-100.57265,100,96.590886
-89.027248,100,98.373363
-93.951746,100,100.055972
-94.950571,100,101.805478
-103.512192,100,103.462015
-99.855524,100,105.298588
-99.36689,100,108.031929
-91.396821,100,109.850831
-110.820366,100,111.63907
-80.269974,100,113.390718
-94.821725,100,115.101479
-95.52472,100,116.953729
-91.814499,100,118.777004
-125.630564,100,120.542848
-101.96936,100,122.21606
-91.568768,100,124.368116
-95.775438,100,126.267973
-89.867383,100,128.004943
-90.563762,100,129.815119
-91.550549,100,131.552252
-97.932957,100,133.238171
-115.247635,100,134.995785
-108.340955,100,136.659923
-106.794958,100,138.367485
-87.767402,100,140.186419
-99.984541,100,141.913569
-97.531516,100,143.643607
-107.155706,100,145.356442
-105.658964,100,146.97216
-122.190452,100,148.627473
-115.846648,100,150.412117
-101.284616,100,152.316613
-102.996319,100,153.9824
-116.475241,100,155.693544
-107.103692,100,157.27878
-91.095062,100,158.900364
-112.655482,100,160.753151
-109.809859,100,162.505407
-93.640596,100,164.250551
-96.723777,100,166.005744
-108.754602,100,167.661765
-122.518296,100,169.342021
-87.929366,100,171.004616
-116.156097,100,172.606557
-96.385539,100,174.241312
-99.613534,100,175.891634
-89.683642,100,177.557455
-105.415845,100,179.393108
-102.64681,100,181.157033
-112.880825,100,182.836245
-98.820665,100,184.872502
-84.383242,100,186.636174
-106.558404,100,188.373747
-94.202205,100,190.067586
-88.247327,100,191.833916
-120.819319,100,193.527255
-83.072302,100,195.235845
-100.179056,100,197.030011
-113.930819,100,198.799467
-114.436152,100,200.597679
-118.285378,100,202.320538
-119.136146,100,204.098187
-113.175483,100,205.766103
-112.569252,100,207.482422
-101.802452,100,209.308997
-156.309497,100,211.026054
-93.704767,100,212.877142
-106.513081,100,214.785493
-102.175205,100,216.483198
-96.408526,100,218.195544
-113.306949,100,219.971569
-89.996609,100,221.706253
-90.919883,100,223.467607
-92.522176,100,225.125169
-131.568601,100,226.819567
-104.732301,100,228.449601
-114.349167,100,230.002244
-104.515306,100,231.729742
-127.018762,100,233.493215
-96.983664,100,235.086077
-104.082642,100,236.850822
-85.272514,100,238.56416
-87.267698,100,240.336725
-87.147094,100,242.077574
-96.498012,100,243.921988
-148.07617,100,245.840181
-181.634609,100,247.677566
-101.820688,100,249.556346
-94.691539,100,251.404354
-97.04503,100,253.074425
-108.350052,100,254.766016
-97.203194,100,256.482473
-103.002482,100,258.119204
-96.290166,100,259.819838
-101.81672,100,261.60298
-118.601793,100,263.234686
-116.415874,100,264.910904
-103.362961,100,266.672144
-102.616995,100,268.385417
-100.539539,100,270.049434
-263.425531,100,271.692116
-76.49365,100,273.475709
-108.161633,100,275.108416
-80.997917,100,276.873501
-102.842892,100,278.68792
-88.38652,100,280.504359
-109.391802,100,282.13805
-104.272967,100,283.84414
