#{"env_id": "BaxterReachEnv-v12", "t_start": 1543951597.4258673}
r,l,t
-37.353868,100,3.925291
-43.456909,100,5.876512
-35.838179,100,7.762786
-36.053003,100,9.686594
-37.257945,100,11.56349
-34.842264,100,13.427433
-38.281394,100,15.357632
-36.430274,100,17.247448
-35.316607,100,19.176389
-49.821684,100,21.218779
-38.001528,100,23.143198
-37.877757,100,25.050709
-38.708207,100,26.978711
-36.485218,100,28.86196
-36.811987,100,30.766062
-37.324366,100,32.607177
-44.224372,100,34.517624
-38.019249,100,36.411452
-38.750308,100,38.300783
-38.465154,100,40.225711
-36.699103,100,42.092846
-38.112556,100,43.971952
-37.696992,100,45.883886
-38.513726,100,47.816817
-36.122075,100,49.725544
-47.686239,100,51.753155
-36.76512,100,53.648951
-36.874492,100,55.568418
-39.314563,100,57.524588
-35.624302,100,59.399736
-38.397782,100,61.321636
-35.980023,100,63.289579
-39.349126,100,65.178805
-37.625206,100,67.095429
-40.22223,100,69.030014
-36.142576,100,70.935294
-34.520537,100,72.844196
-56.711134,100,75.011348
-36.660539,100,76.93119
-35.81411,100,78.80643
-38.587847,100,80.731013
-40.269069,100,82.63165
-41.638138,100,84.558787
-35.034058,100,86.461196
-35.742624,100,88.356639
-37.023727,100,90.276094
-36.773691,100,92.187303
-35.805594,100,94.136914
-37.059944,100,96.007848
-39.122058,100,97.935834
-36.94441,100,99.84099
-37.543542,100,101.784149
-39.225284,100,103.771532
-37.092022,100,105.744901
-36.407117,100,107.664573
-36.898687,100,109.62031
-35.767086,100,111.537458
-40.4238,100,113.51087
-35.129565,100,115.423233
-36.956245,100,117.353402
-40.187981,100,120.134669
-35.771986,100,122.043791
-36.408294,100,123.98746
-35.123365,100,125.886958
-47.465661,100,127.903097
-36.31317,100,129.802551
-34.619087,100,131.706946
-36.613286,100,133.606538
-35.702972,100,135.536424
-36.131319,100,137.690865
-37.917041,100,140.180381
-37.452553,100,142.400264
-35.175846,100,144.29021
-36.750243,100,146.258455
-36.954625,100,148.178399
-38.301191,100,150.073136
-36.724815,100,151.952594
-37.244443,100,153.920128
-37.853774,100,155.891662
-43.019488,100,157.975253
-36.938503,100,160.094556
-36.813593,100,162.004539
-36.501347,100,163.940097
-41.284931,100,165.859234
-35.775385,100,167.810704
-37.618019,100,169.737109
-62.646996,100,171.891298
-36.200099,100,173.801753
-36.251729,100,175.701788
-36.686231,100,177.602049
-37.079013,100,179.705518
-37.695856,100,181.606347
-36.829762,100,183.54948
-37.383728,100,185.489848
-37.21826,100,187.394234
-38.047607,100,189.332358
-37.395463,100,191.279901
-38.114749,100,193.217166
-36.129576,100,195.139737
-38.404945,100,197.114458
-38.196851,100,199.044926
-36.002292,100,201.074154
-37.864465,100,202.974505
-38.161061,100,204.895991
-37.325036,100,206.850221
-40.701513,100,208.839242
-37.53142,100,210.804213
-37.556733,100,212.743165
-38.478834,100,214.710418
-37.060283,100,216.668688
-36.819141,100,218.602406
-35.858612,100,220.699258
-38.197259,100,222.59494
-40.038655,100,224.535122
-36.323455,100,226.419491
-34.285108,100,228.345626
-37.384233,100,230.283091
-36.836435,100,232.25754
-35.560083,100,234.17444
-35.552392,100,236.038439
-39.588964,100,237.983337
-36.589421,100,240.033805
-40.209296,100,241.948226
-47.305944,100,243.974227
-35.693457,100,245.910416
-37.187626,100,247.854058
-37.491378,100,249.801408
-36.393753,100,251.704107
